Classifier,Dataset,Reduce,XAI,Accuracy,F1-Score,Dimension,Feature Removed
Decision Tree,kuhar,all,LIME,0.8333333333333334,0.831642953670603,24,10
Decision Tree,kuhar,all,LIME,0.8690476190476191,0.8671154267129499,23,20
Decision Tree,kuhar,all,LIME,0.8452380952380952,0.8429558745348218,22,3
Decision Tree,kuhar,all,LIME,0.8571428571428571,0.8591193821078879,21,19
Decision Tree,kuhar,all,LIME,0.8392857142857143,0.8389795743000498,20,23
Decision Tree,kuhar,all,LIME,0.8571428571428571,0.8539956212370007,19,2
Decision Tree,kuhar,all,LIME,0.8511904761904762,0.8508682306020479,18,5
Decision Tree,kuhar,all,LIME,0.8630952380952381,0.8628195061859586,17,17
Decision Tree,kuhar,all,LIME,0.8809523809523809,0.8791846874634205,16,8
Decision Tree,kuhar,all,LIME,0.8214285714285714,0.8169178766138351,15,7
Decision Tree,kuhar,all,LIME,0.8333333333333334,0.8314807999018524,14,16
Decision Tree,kuhar,all,LIME,0.8571428571428571,0.8567622033139276,13,13
Decision Tree,kuhar,all,LIME,0.8571428571428571,0.8577253547701789,12,12
Decision Tree,kuhar,all,LIME,0.8809523809523809,0.8806851401619061,11,14
Decision Tree,kuhar,all,LIME,0.8809523809523809,0.8803916125503993,10,1
Decision Tree,kuhar,all,LIME,0.8690476190476191,0.8687664982069666,9,9
Decision Tree,kuhar,all,LIME,0.8809523809523809,0.8794878610668085,8,15
Decision Tree,kuhar,all,LIME,0.875,0.875082081661029,7,18
Decision Tree,kuhar,all,LIME,0.8869047619047619,0.8877154292248631,6,4
Decision Tree,kuhar,all,LIME,0.8273809523809523,0.8263155780153637,5,22
Decision Tree,kuhar,all,LIME,0.8154761904761905,0.8120866904243785,4,0
Decision Tree,kuhar,all,LIME,0.7023809523809523,0.6987074311453251,3,21
Decision Tree,kuhar,all,LIME,0.6964285714285714,0.6973518259671115,2,6
Decision Tree,kuhar,all,LIME,0.47023809523809523,0.4755661187033737,1,11
