Classifier,Dataset,Reduce,XAI,Accuracy,F1-Score,Dimension,Feature Removed
Decision Tree,kuhar,all,ORACLE,0.8333333333333334,0.831642953670603,24,5
Decision Tree,kuhar,all,ORACLE,0.8154761904761905,0.8116799321899896,23,2
Decision Tree,kuhar,all,ORACLE,0.8154761904761905,0.8135156716489509,22,3
Decision Tree,kuhar,all,ORACLE,0.8392857142857143,0.837588781522769,21,9
Decision Tree,kuhar,all,ORACLE,0.8452380952380952,0.845564243467901,20,8
Decision Tree,kuhar,all,ORACLE,0.8511904761904762,0.8520156867614493,19,14
Decision Tree,kuhar,all,ORACLE,0.8571428571428571,0.8570537312260503,18,1
Decision Tree,kuhar,all,ORACLE,0.8273809523809523,0.8273013198946918,17,16
Decision Tree,kuhar,all,ORACLE,0.8273809523809523,0.8289357653392742,16,23
Decision Tree,kuhar,all,ORACLE,0.8214285714285714,0.8225412014885699,15,17
Decision Tree,kuhar,all,ORACLE,0.8392857142857143,0.8383145690768194,14,12
Decision Tree,kuhar,all,ORACLE,0.8452380952380952,0.8439104218533272,13,21
Decision Tree,kuhar,all,ORACLE,0.8511904761904762,0.850724992069479,12,20
Decision Tree,kuhar,all,ORACLE,0.8630952380952381,0.8612547699882204,11,18
Decision Tree,kuhar,all,ORACLE,0.8333333333333334,0.8315154831628498,10,15
Decision Tree,kuhar,all,ORACLE,0.8273809523809523,0.8264892721531784,9,11
Decision Tree,kuhar,all,ORACLE,0.7976190476190477,0.7950447915817298,8,6
Decision Tree,kuhar,all,ORACLE,0.8273809523809523,0.8269302866016143,7,19
Decision Tree,kuhar,all,ORACLE,0.8452380952380952,0.844498369446613,6,4
Decision Tree,kuhar,all,ORACLE,0.8273809523809523,0.8226348807512919,5,13
Decision Tree,kuhar,all,ORACLE,0.8214285714285714,0.811533687774275,4,22
Decision Tree,kuhar,all,ORACLE,0.7738095238095238,0.7670710940825884,3,7
Decision Tree,kuhar,all,ORACLE,0.7440476190476191,0.7363531318895258,2,10
Decision Tree,kuhar,all,ORACLE,0.5892857142857143,0.5849275984954169,1,0
