Classifier,Dataset,Reduce,XAI,Accuracy,F1-Score,Dimension,Feature Removed
SVM,kuhar,all,LIME,0.7321428571428571,0.7150793650793652,24,0
SVM,kuhar,all,LIME,0.7380952380952381,0.7338787780638013,23,2
SVM,kuhar,all,LIME,0.7083333333333334,0.6987132256306582,22,1
SVM,kuhar,all,LIME,0.7380952380952381,0.7310606060606061,21,4
SVM,kuhar,all,LIME,0.7142857142857143,0.7038250156888513,20,3
SVM,kuhar,all,LIME,0.7083333333333334,0.6893127033197955,19,6
SVM,kuhar,all,LIME,0.7083333333333334,0.6939943995061385,18,8
SVM,kuhar,all,LIME,0.7083333333333334,0.7013152954453385,17,17
SVM,kuhar,all,LIME,0.7202380952380952,0.7082217921059336,16,10
SVM,kuhar,all,LIME,0.7083333333333334,0.6893127033197955,15,5
SVM,kuhar,all,LIME,0.6845238095238095,0.6720174771002299,14,7
SVM,kuhar,all,LIME,0.6607142857142857,0.6474237133760313,13,19
SVM,kuhar,all,LIME,0.6666666666666666,0.6543751749065864,12,18
SVM,kuhar,all,LIME,0.6666666666666666,0.6571598613335942,11,11
SVM,kuhar,all,LIME,0.6607142857142857,0.6208896809900001,10,15
SVM,kuhar,all,LIME,0.6845238095238095,0.6373307374248124,9,23
SVM,kuhar,all,LIME,0.6845238095238095,0.630467696729463,8,14
SVM,kuhar,all,LIME,0.6785714285714286,0.6268037641527432,7,12
SVM,kuhar,all,LIME,0.6488095238095238,0.5937990168486622,6,21
SVM,kuhar,all,LIME,0.6547619047619048,0.5974482409635344,5,13
SVM,kuhar,all,LIME,0.6547619047619048,0.5959539244053441,4,22
SVM,kuhar,all,LIME,0.6130952380952381,0.5353218285364828,3,20
SVM,kuhar,all,LIME,0.4226190476190476,0.3609115271765875,2,16
SVM,kuhar,all,LIME,0.49404761904761907,0.466227392406836,1,9
