Classifier,Dataset,Reduce,XAI,Accuracy,F1-Score,Dimension,Feature Removed
SVM,kuhar,all,ORACLE,0.7321428571428571,0.7150793650793652,24,2
SVM,kuhar,all,ORACLE,0.7083333333333334,0.685662883974962,23,1
SVM,kuhar,all,ORACLE,0.7083333333333334,0.6879065457358129,22,6
SVM,kuhar,all,ORACLE,0.7261904761904762,0.7090686214984953,21,4
SVM,kuhar,all,ORACLE,0.6964285714285714,0.6916893167639436,20,22
SVM,kuhar,all,ORACLE,0.6845238095238095,0.6793067849784267,19,11
SVM,kuhar,all,ORACLE,0.6666666666666666,0.6612968180589288,18,21
SVM,kuhar,all,ORACLE,0.6726190476190477,0.6667169540229884,17,19
SVM,kuhar,all,ORACLE,0.6666666666666666,0.6612015534183021,16,18
SVM,kuhar,all,ORACLE,0.6785714285714286,0.6736943308291125,15,17
SVM,kuhar,all,ORACLE,0.6845238095238095,0.6809428810990091,14,16
SVM,kuhar,all,ORACLE,0.6785714285714286,0.6769899793207065,13,15
SVM,kuhar,all,ORACLE,0.6904761904761905,0.688609970533653,12,14
SVM,kuhar,all,ORACLE,0.6845238095238095,0.6826291092896338,11,23
SVM,kuhar,all,ORACLE,0.6845238095238095,0.683304795555762,10,12
SVM,kuhar,all,ORACLE,0.6964285714285714,0.6950153231466524,9,10
SVM,kuhar,all,ORACLE,0.6785714285714286,0.679344092624205,8,8
SVM,kuhar,all,ORACLE,0.6607142857142857,0.6615571680370612,7,5
SVM,kuhar,all,ORACLE,0.6726190476190477,0.6849138515805181,6,13
SVM,kuhar,all,ORACLE,0.6726190476190477,0.6849138515805181,5,7
SVM,kuhar,all,ORACLE,0.6607142857142857,0.6725206891873557,4,0
SVM,kuhar,all,ORACLE,0.6369047619047619,0.5923563157456715,3,9
SVM,kuhar,all,ORACLE,0.7023809523809523,0.69680791532952,2,20
SVM,kuhar,all,ORACLE,0.5178571428571429,0.47897306659984146,1,3
