Classifier,Dataset,Reduce,XAI,Accuracy,F1-Score,Dimension,Feature Removed
KNN,kuhar,axis,LIME,0.9523809523809524,0.9523657483427598,24,0
KNN,kuhar,axis,LIME,0.9523809523809524,0.9523657483427598,23,8
KNN,kuhar,axis,LIME,0.9523809523809524,0.9523657628920787,22,20
KNN,kuhar,axis,LIME,0.9523809523809524,0.9523657628920787,21,16
KNN,kuhar,axis,LIME,0.9583333333333334,0.958321941216678,20,1
KNN,kuhar,axis,LIME,0.9226190476190476,0.9222533377900608,19,4
KNN,kuhar,axis,LIME,0.9285714285714286,0.928520032893234,18,21
KNN,kuhar,axis,LIME,0.9226190476190476,0.9222095057286852,17,12
KNN,kuhar,axis,LIME,0.9226190476190476,0.9225543611380886,16,6
KNN,kuhar,axis,LIME,0.9285714285714286,0.9284744207786564,15,22
KNN,kuhar,axis,LIME,0.9107142857142856,0.9099013276844122,14,10
KNN,kuhar,axis,LIME,0.9107142857142856,0.9099013276844122,13,13
KNN,kuhar,axis,LIME,0.9166666666666666,0.9153227317896696,12,15
KNN,kuhar,axis,LIME,0.9107142857142856,0.9102724105486072,11,11
KNN,kuhar,axis,LIME,0.9047619047619048,0.9038168317724968,10,23
KNN,kuhar,axis,LIME,0.8095238095238095,0.8027723849518913,9,9
KNN,kuhar,axis,LIME,0.8273809523809523,0.8220414424038237,8,3
KNN,kuhar,axis,LIME,0.7976190476190477,0.7930496761869351,7,2
KNN,kuhar,axis,LIME,0.8035714285714286,0.8008873310597449,6,18
KNN,kuhar,axis,LIME,0.7678571428571429,0.7645305805738302,5,5
KNN,kuhar,axis,LIME,0.7678571428571429,0.7643963681347969,4,19
KNN,kuhar,axis,LIME,0.6428571428571429,0.6392902724775021,3,7
KNN,kuhar,axis,LIME,0.5833333333333334,0.5815671366411161,2,14
KNN,kuhar,axis,LIME,0.2976190476190476,0.29438184132620865,1,17
