Classifier,Dataset,Reduce,XAI,Accuracy,F1-Score,Dimension,Feature Removed
KNN,kuhar,axis,SHAP,0.9523809523809524,0.9523657483427598,24,1
KNN,kuhar,axis,SHAP,0.9464285714285714,0.9463771757503768,23,16
KNN,kuhar,axis,SHAP,0.9404761904761904,0.9403660666818562,22,0
KNN,kuhar,axis,SHAP,0.9166666666666666,0.9166256321623552,21,20
KNN,kuhar,axis,SHAP,0.9166666666666666,0.9159682648383214,20,21
KNN,kuhar,axis,SHAP,0.9285714285714286,0.928520032893234,19,15
KNN,kuhar,axis,SHAP,0.9345238095238096,0.934693740142744,18,8
KNN,kuhar,axis,SHAP,0.9345238095238096,0.934693740142744,17,12
KNN,kuhar,axis,SHAP,0.9345238095238096,0.934693740142744,16,13
KNN,kuhar,axis,SHAP,0.9166666666666666,0.9163030456133904,15,11
KNN,kuhar,axis,SHAP,0.9226190476190476,0.9222082515185964,14,4
KNN,kuhar,axis,SHAP,0.9166666666666666,0.9159942504658856,13,6
KNN,kuhar,axis,SHAP,0.8928571428571429,0.8915821756544253,12,22
KNN,kuhar,axis,SHAP,0.9047619047619048,0.9042062777054846,11,23
KNN,kuhar,axis,SHAP,0.8452380952380952,0.8429161688366832,10,3
KNN,kuhar,axis,SHAP,0.8333333333333334,0.8295621103960199,9,14
KNN,kuhar,axis,SHAP,0.7619047619047619,0.7573384685777738,8,9
KNN,kuhar,axis,SHAP,0.75,0.7477555445825868,7,10
KNN,kuhar,axis,SHAP,0.6964285714285714,0.6958878890820815,6,2
KNN,kuhar,axis,SHAP,0.6904761904761905,0.689663023679417,5,19
KNN,kuhar,axis,SHAP,0.6369047619047619,0.638142574007981,4,18
KNN,kuhar,axis,SHAP,0.6428571428571429,0.6457059457255997,3,5
KNN,kuhar,axis,SHAP,0.5178571428571429,0.5230060236223112,2,7
KNN,kuhar,axis,SHAP,0.2976190476190476,0.29438184132620865,1,17
