Classifier,Dataset,Reduce,XAI,Accuracy,F1-Score,Dimension,Feature Removed
SVM,kuhar,axis,SHAP,0.9404761904761904,0.9404572036150984,24,1
SVM,kuhar,axis,SHAP,0.9404761904761904,0.9404572036150984,23,16
SVM,kuhar,axis,SHAP,0.9404761904761904,0.9404572036150984,22,21
SVM,kuhar,axis,SHAP,0.9345238095238096,0.9333703642596564,21,15
SVM,kuhar,axis,SHAP,0.9345238095238096,0.9346560846560849,20,12
SVM,kuhar,axis,SHAP,0.9345238095238096,0.9346104725415072,19,13
SVM,kuhar,axis,SHAP,0.9226190476190476,0.922209141993059,18,0
SVM,kuhar,axis,SHAP,0.9047619047619048,0.9061412682233604,17,8
SVM,kuhar,axis,SHAP,0.9166666666666666,0.9171033320156128,16,20
SVM,kuhar,axis,SHAP,0.9226190476190476,0.9229994493232472,15,6
SVM,kuhar,axis,SHAP,0.9166666666666666,0.9173810659657048,14,22
SVM,kuhar,axis,SHAP,0.9226190476190476,0.9230217094348502,13,4
SVM,kuhar,axis,SHAP,0.8988095238095238,0.8995352600615757,12,11
SVM,kuhar,axis,SHAP,0.9285714285714286,0.9287265366212736,11,23
SVM,kuhar,axis,SHAP,0.8273809523809523,0.8245109435118355,10,14
SVM,kuhar,axis,SHAP,0.7738095238095238,0.77224995020427,9,9
SVM,kuhar,axis,SHAP,0.7678571428571429,0.7666053157668006,8,18
SVM,kuhar,axis,SHAP,0.7440476190476191,0.743612081550678,7,3
SVM,kuhar,axis,SHAP,0.7678571428571429,0.7681908270065184,6,10
SVM,kuhar,axis,SHAP,0.7321428571428571,0.7303565573674918,5,2
SVM,kuhar,axis,SHAP,0.7023809523809523,0.7016389729785028,4,19
SVM,kuhar,axis,SHAP,0.6369047619047619,0.6207466996001737,3,7
SVM,kuhar,axis,SHAP,0.5654761904761905,0.5729023976608626,2,5
SVM,kuhar,axis,SHAP,0.3392857142857143,0.2721256541611507,1,17
