Classifier,Dataset,Reduce,XAI,Accuracy,F1-Score,Dimension,Feature Removed
Decision Tree,kuhar,sensor,ORACLE,0.8571428571428571,0.8572309815993857,24,0
Decision Tree,kuhar,sensor,ORACLE,0.8333333333333334,0.8348818673260444,23,4
Decision Tree,kuhar,sensor,ORACLE,0.8511904761904762,0.8520887780949701,22,14
Decision Tree,kuhar,sensor,ORACLE,0.8630952380952381,0.86226141254616,21,1
Decision Tree,kuhar,sensor,ORACLE,0.8571428571428571,0.8557892617340886,20,3
Decision Tree,kuhar,sensor,ORACLE,0.8392857142857143,0.838774697691254,19,16
Decision Tree,kuhar,sensor,ORACLE,0.8273809523809523,0.8287617334476757,18,8
Decision Tree,kuhar,sensor,ORACLE,0.8273809523809523,0.8287617334476757,17,2
Decision Tree,kuhar,sensor,ORACLE,0.8333333333333334,0.83450690971009,16,6
Decision Tree,kuhar,sensor,ORACLE,0.8333333333333334,0.8347487916749731,15,5
Decision Tree,kuhar,sensor,ORACLE,0.8690476190476191,0.8697891128061048,14,15
Decision Tree,kuhar,sensor,ORACLE,0.9047619047619048,0.9037918871252204,13,18
Decision Tree,kuhar,sensor,ORACLE,0.8869047619047619,0.8859232040046982,12,23
Decision Tree,kuhar,sensor,ORACLE,0.8809523809523809,0.8796238753098113,11,9
Decision Tree,kuhar,sensor,ORACLE,0.9047619047619048,0.9041210155964254,10,13
Decision Tree,kuhar,sensor,ORACLE,0.8928571428571429,0.8916514588557599,9,22
Decision Tree,kuhar,sensor,ORACLE,0.8571428571428571,0.8569250378548293,8,7
Decision Tree,kuhar,sensor,ORACLE,0.8511904761904762,0.8491307323931808,7,20
Decision Tree,kuhar,sensor,ORACLE,0.875,0.8730870728730444,6,12
Decision Tree,kuhar,sensor,ORACLE,0.8869047619047619,0.8854082723616677,5,10
Decision Tree,kuhar,sensor,ORACLE,0.8869047619047619,0.8858728990307938,4,17
Decision Tree,kuhar,sensor,ORACLE,0.8214285714285714,0.8179955913131064,3,19
Decision Tree,kuhar,sensor,ORACLE,0.7202380952380952,0.7213321320044018,2,11
Decision Tree,kuhar,sensor,ORACLE,0.3869047619047619,0.3831621925518622,1,21
