Classifier,Dataset,Reduce,XAI,Accuracy,F1-Score,Dimension,Feature Removed
KNN,kuhar,sensor,SHAP,0.9404761904761904,0.940066648585828,24,0
KNN,kuhar,sensor,SHAP,0.9345238095238096,0.9341009768306824,23,12
KNN,kuhar,sensor,SHAP,0.9345238095238096,0.9341009768306824,22,19
KNN,kuhar,sensor,SHAP,0.9226190476190476,0.9218427672040516,21,3
KNN,kuhar,sensor,SHAP,0.9226190476190476,0.9220257812363074,20,14
KNN,kuhar,sensor,SHAP,0.9226190476190476,0.9220257812363074,19,4
KNN,kuhar,sensor,SHAP,0.9226190476190476,0.9218427672040516,18,1
KNN,kuhar,sensor,SHAP,0.8928571428571429,0.8914447474813051,17,21
KNN,kuhar,sensor,SHAP,0.8928571428571429,0.8918300573667804,16,16
KNN,kuhar,sensor,SHAP,0.8869047619047619,0.8858605882394167,15,23
KNN,kuhar,sensor,SHAP,0.8928571428571429,0.8920085623315556,14,13
KNN,kuhar,sensor,SHAP,0.8869047619047619,0.8859051181085079,13,7
KNN,kuhar,sensor,SHAP,0.8809523809523809,0.8800695366413307,12,2
KNN,kuhar,sensor,SHAP,0.875,0.8738415315432692,11,15
KNN,kuhar,sensor,SHAP,0.8630952380952381,0.8612426678546599,10,9
KNN,kuhar,sensor,SHAP,0.8630952380952381,0.861705860575917,9,5
KNN,kuhar,sensor,SHAP,0.8630952380952381,0.8622350452241391,8,6
KNN,kuhar,sensor,SHAP,0.8988095238095238,0.8982130274040921,7,11
KNN,kuhar,sensor,SHAP,0.9107142857142856,0.909658608613944,6,10
KNN,kuhar,sensor,SHAP,0.8690476190476191,0.8694792036112902,5,20
KNN,kuhar,sensor,SHAP,0.8511904761904762,0.8516151287435137,4,22
KNN,kuhar,sensor,SHAP,0.7976190476190477,0.7983260333361352,3,17
KNN,kuhar,sensor,SHAP,0.6369047619047619,0.6349772613155126,2,18
KNN,kuhar,sensor,SHAP,0.35119047619047616,0.3528153793040813,1,8
