Classifier,Dataset,Reduce,XAI,Accuracy,F1-Score,Dimension,Feature Removed
Random Forest,kuhar,sensor,ORACLE,0.8988095238095238,0.8982738435568624,24,0
Random Forest,kuhar,sensor,ORACLE,0.8928571428571429,0.8917563870234161,23,19
Random Forest,kuhar,sensor,ORACLE,0.8988095238095238,0.897826215370075,22,18
Random Forest,kuhar,sensor,ORACLE,0.8988095238095238,0.8979518933079303,21,7
Random Forest,kuhar,sensor,ORACLE,0.8988095238095238,0.8982130274040921,20,21
Random Forest,kuhar,sensor,ORACLE,0.8988095238095238,0.8982162574267837,19,3
Random Forest,kuhar,sensor,ORACLE,0.8928571428571429,0.8918469701985093,18,13
Random Forest,kuhar,sensor,ORACLE,0.8928571428571429,0.8918630194697722,17,12
Random Forest,kuhar,sensor,ORACLE,0.8869047619047619,0.8862302815863187,16,14
Random Forest,kuhar,sensor,ORACLE,0.8928571428571429,0.8922771672771673,15,11
Random Forest,kuhar,sensor,ORACLE,0.875,0.874249499490594,14,8
Random Forest,kuhar,sensor,ORACLE,0.8809523809523809,0.8802608124589547,13,6
Random Forest,kuhar,sensor,ORACLE,0.8809523809523809,0.8805534269902086,12,5
Random Forest,kuhar,sensor,ORACLE,0.8928571428571429,0.8925342090859333,11,4
Random Forest,kuhar,sensor,ORACLE,0.8809523809523809,0.8805534269902086,10,2
Random Forest,kuhar,sensor,ORACLE,0.8630952380952381,0.8622423875781408,9,1
Random Forest,kuhar,sensor,ORACLE,0.875,0.8745020512413131,8,10
Random Forest,kuhar,sensor,ORACLE,0.8869047619047619,0.8864709405202867,7,22
Random Forest,kuhar,sensor,ORACLE,0.875,0.8746502407763411,6,16
Random Forest,kuhar,sensor,ORACLE,0.8571428571428571,0.856992364123783,5,17
Random Forest,kuhar,sensor,ORACLE,0.8630952380952381,0.8628218950403389,4,20
Random Forest,kuhar,sensor,ORACLE,0.8571428571428571,0.8566243270839161,3,9
Random Forest,kuhar,sensor,ORACLE,0.8511904761904762,0.8511444109074087,2,23
Random Forest,kuhar,sensor,ORACLE,0.5476190476190477,0.5546994180189422,1,15
