Classifier,Dataset,Reduce,XAI,Accuracy,F1-Score,Dimension,Feature Removed
Random Forest,kuhar,sensor,Random Forest,0.8988095238095238,0.8982738435568624,24,23
Random Forest,kuhar,sensor,Random Forest,0.9107142857142856,0.9096755891160576,23,20
Random Forest,kuhar,sensor,Random Forest,0.9166666666666666,0.9154456654456654,22,11
Random Forest,kuhar,sensor,Random Forest,0.9107142857142856,0.909538051047485,21,0
Random Forest,kuhar,sensor,Random Forest,0.9047619047619048,0.9041063012601228,20,21
Random Forest,kuhar,sensor,Random Forest,0.9166666666666666,0.9155879227193584,19,3
Random Forest,kuhar,sensor,Random Forest,0.8988095238095238,0.8982130274040921,18,12
Random Forest,kuhar,sensor,Random Forest,0.9107142857142856,0.909658608613944,17,19
Random Forest,kuhar,sensor,Random Forest,0.9107142857142856,0.9100652619360646,16,14
Random Forest,kuhar,sensor,Random Forest,0.8988095238095238,0.8982633351054403,15,15
Random Forest,kuhar,sensor,Random Forest,0.8988095238095238,0.8982633351054403,14,1
Random Forest,kuhar,sensor,Random Forest,0.9047619047619048,0.9042129337064788,13,7
Random Forest,kuhar,sensor,Random Forest,0.8988095238095238,0.8982633351054403,12,10
Random Forest,kuhar,sensor,Random Forest,0.8690476190476191,0.8684676434676435,11,13
Random Forest,kuhar,sensor,Random Forest,0.875,0.8744643197473385,10,22
Random Forest,kuhar,sensor,Random Forest,0.8690476190476191,0.8689107827038861,9,17
Random Forest,kuhar,sensor,Random Forest,0.8452380952380952,0.8450085634578134,8,16
Random Forest,kuhar,sensor,Random Forest,0.8630952380952381,0.862311226784911,7,2
Random Forest,kuhar,sensor,Random Forest,0.8273809523809523,0.8271746964329919,6,18
Random Forest,kuhar,sensor,Random Forest,0.7916666666666666,0.7839602849182805,5,5
Random Forest,kuhar,sensor,Random Forest,0.8154761904761905,0.8137726308778941,4,4
Random Forest,kuhar,sensor,Random Forest,0.7916666666666666,0.7913888027284927,3,9
Random Forest,kuhar,sensor,Random Forest,0.6845238095238095,0.6812351669494526,2,8
Random Forest,kuhar,sensor,Random Forest,0.3630952380952381,0.359620588429868,1,6
