Classifier,Dataset,Reduce,XAI,Accuracy,F1-Score,Dimension,Feature Removed
KNN,motionsense,all,SHAP,0.8214285714285714,0.8209532441801639,24,0
KNN,motionsense,all,SHAP,0.8214285714285714,0.820718876560119,23,1
KNN,motionsense,all,SHAP,0.7857142857142857,0.7891996133741864,22,2
KNN,motionsense,all,SHAP,0.7976190476190477,0.799971310344492,21,4
KNN,motionsense,all,SHAP,0.8095238095238095,0.8116846355994838,20,8
KNN,motionsense,all,SHAP,0.7976190476190477,0.8003972068640807,19,10
KNN,motionsense,all,SHAP,0.7916666666666666,0.7951035547261962,18,3
KNN,motionsense,all,SHAP,0.7976190476190477,0.8008576669661576,17,7
KNN,motionsense,all,SHAP,0.7916666666666666,0.7950208627780592,16,6
KNN,motionsense,all,SHAP,0.8095238095238095,0.8123458459621099,15,19
KNN,motionsense,all,SHAP,0.7976190476190477,0.8002080627912306,14,23
KNN,motionsense,all,SHAP,0.8035714285714286,0.8061578590994101,13,5
KNN,motionsense,all,SHAP,0.8333333333333334,0.8328380080465081,12,15
KNN,motionsense,all,SHAP,0.8214285714285714,0.8207324719998441,11,17
KNN,motionsense,all,SHAP,0.8273809523809523,0.8265663033864085,10,22
KNN,motionsense,all,SHAP,0.8214285714285714,0.8204098208484173,9,16
KNN,motionsense,all,SHAP,0.8392857142857143,0.8387021448083797,8,20
KNN,motionsense,all,SHAP,0.8333333333333334,0.8332501295129804,7,21
KNN,motionsense,all,SHAP,0.8392857142857143,0.8387866028523608,6,14
KNN,motionsense,all,SHAP,0.8214285714285714,0.8215659036508858,5,12
KNN,motionsense,all,SHAP,0.7440476190476191,0.7426145516232542,4,13
KNN,motionsense,all,SHAP,0.6845238095238095,0.6848746387040398,3,11
KNN,motionsense,all,SHAP,0.6071428571428571,0.5927043590659473,2,18
KNN,motionsense,all,SHAP,0.3392857142857143,0.3301369041776531,1,9
