Classifier,Dataset,Reduce,XAI,Accuracy,F1-Score,Dimension,Feature Removed
Random Forest,motionsense,all,ORACLE,0.8511904761904762,0.851033850772409,24,19
Random Forest,motionsense,all,ORACLE,0.8392857142857143,0.8395939695374723,23,9
Random Forest,motionsense,all,ORACLE,0.8452380952380952,0.8450205109809629,22,11
Random Forest,motionsense,all,ORACLE,0.8511904761904762,0.8507843283107114,21,20
Random Forest,motionsense,all,ORACLE,0.8452380952380952,0.8450205109809629,20,18
Random Forest,motionsense,all,ORACLE,0.8392857142857143,0.8399186448621476,19,17
Random Forest,motionsense,all,ORACLE,0.8392857142857143,0.8399186448621476,18,16
Random Forest,motionsense,all,ORACLE,0.8452380952380952,0.8450205109809629,17,15
Random Forest,motionsense,all,ORACLE,0.8452380952380952,0.8450205109809629,16,13
Random Forest,motionsense,all,ORACLE,0.8452380952380952,0.8450205109809629,15,12
Random Forest,motionsense,all,ORACLE,0.8392857142857143,0.8389268262232702,14,23
Random Forest,motionsense,all,ORACLE,0.8511904761904762,0.8507843283107114,13,8
Random Forest,motionsense,all,ORACLE,0.8392857142857143,0.8389268262232702,12,7
Random Forest,motionsense,all,ORACLE,0.8392857142857143,0.8399186448621476,11,22
Random Forest,motionsense,all,ORACLE,0.8452380952380952,0.845682462191896,10,14
Random Forest,motionsense,all,ORACLE,0.8452380952380952,0.8446669913396782,9,6
Random Forest,motionsense,all,ORACLE,0.8452380952380952,0.8446906435530187,8,5
Random Forest,motionsense,all,ORACLE,0.8392857142857143,0.839656697535466,7,3
Random Forest,motionsense,all,ORACLE,0.8511904761904762,0.8507843283107114,6,2
Random Forest,motionsense,all,ORACLE,0.8392857142857143,0.839656697535466,5,1
Random Forest,motionsense,all,ORACLE,0.8452380952380952,0.8439166486755073,4,21
Random Forest,motionsense,all,ORACLE,0.8154761904761905,0.8147311850555811,3,10
Random Forest,motionsense,all,ORACLE,0.7797619047619048,0.7810538443682024,2,0
Random Forest,motionsense,all,ORACLE,0.4583333333333333,0.4542909469777134,1,4
