Classifier,Dataset,Reduce,XAI,Accuracy,F1-Score,Dimension,Feature Removed
Random Forest,motionsense,all,SHAP,0.8511904761904762,0.851033850772409,24,1
Random Forest,motionsense,all,SHAP,0.8511904761904762,0.8511855936330939,23,0
Random Forest,motionsense,all,SHAP,0.8511904761904762,0.8511855936330939,22,8
Random Forest,motionsense,all,SHAP,0.8511904761904762,0.8511855936330939,21,10
Random Forest,motionsense,all,SHAP,0.8452380952380952,0.8451495250930279,20,20
Random Forest,motionsense,all,SHAP,0.8452380952380952,0.8452330303489469,19,5
Random Forest,motionsense,all,SHAP,0.8511904761904762,0.851033850772409,18,21
Random Forest,motionsense,all,SHAP,0.8511904761904762,0.8511855936330939,17,23
Random Forest,motionsense,all,SHAP,0.8571428571428571,0.8570804849053437,16,6
Random Forest,motionsense,all,SHAP,0.8452380952380952,0.8452330303489469,15,4
Random Forest,motionsense,all,SHAP,0.8452380952380952,0.8454903828454231,14,2
Random Forest,motionsense,all,SHAP,0.8273809523809523,0.8280978208426747,13,7
Random Forest,motionsense,all,SHAP,0.8273809523809523,0.8284344023343161,12,3
Random Forest,motionsense,all,SHAP,0.8273809523809523,0.8266135849317943,11,22
Random Forest,motionsense,all,SHAP,0.7976190476190477,0.7990297677731927,10,9
Random Forest,motionsense,all,SHAP,0.8273809523809523,0.8275764297542881,9,12
Random Forest,motionsense,all,SHAP,0.8273809523809523,0.8284809654945183,8,14
Random Forest,motionsense,all,SHAP,0.8214285714285714,0.82141394771604,7,19
Random Forest,motionsense,all,SHAP,0.7916666666666666,0.7922702787556393,6,17
Random Forest,motionsense,all,SHAP,0.7976190476190477,0.797819082648804,5,11
Random Forest,motionsense,all,SHAP,0.7678571428571429,0.7668827912767395,4,18
Random Forest,motionsense,all,SHAP,0.7559523809523809,0.7572481913754073,3,15
Random Forest,motionsense,all,SHAP,0.5535714285714286,0.5528016739359182,2,16
Random Forest,motionsense,all,SHAP,0.2619047619047619,0.26074705744366716,1,13
