Classifier,Dataset,Reduce,XAI,Accuracy,F1-Score,Dimension,Feature Removed
Decision Tree,motionsense,axis,ORACLE,0.8154761904761905,0.8151450597306616,24,4
Decision Tree,motionsense,axis,ORACLE,0.7559523809523809,0.7550177377048505,23,17
Decision Tree,motionsense,axis,ORACLE,0.7261904761904762,0.7297498099384891,22,8
Decision Tree,motionsense,axis,ORACLE,0.7738095238095238,0.7770300267828545,21,20
Decision Tree,motionsense,axis,ORACLE,0.7678571428571429,0.7708120228060408,20,19
Decision Tree,motionsense,axis,ORACLE,0.7976190476190477,0.7984291279567132,19,16
Decision Tree,motionsense,axis,ORACLE,0.7976190476190477,0.8012479055037401,18,23
Decision Tree,motionsense,axis,ORACLE,0.8035714285714286,0.8079238007620609,17,6
Decision Tree,motionsense,axis,ORACLE,0.7678571428571429,0.7673784382406693,16,13
Decision Tree,motionsense,axis,ORACLE,0.7440476190476191,0.7423424658512378,15,21
Decision Tree,motionsense,axis,ORACLE,0.7321428571428571,0.7321435296891643,14,11
Decision Tree,motionsense,axis,ORACLE,0.7023809523809523,0.7006675023300343,13,3
Decision Tree,motionsense,axis,ORACLE,0.7083333333333334,0.7049057707374137,12,1
Decision Tree,motionsense,axis,ORACLE,0.7261904761904762,0.7261947469046098,11,12
Decision Tree,motionsense,axis,ORACLE,0.6904761904761905,0.6935223462310657,10,14
Decision Tree,motionsense,axis,ORACLE,0.7023809523809523,0.7014942594330865,9,7
Decision Tree,motionsense,axis,ORACLE,0.6488095238095238,0.6556515509196826,8,5
Decision Tree,motionsense,axis,ORACLE,0.6726190476190477,0.6750637056092791,7,0
Decision Tree,motionsense,axis,ORACLE,0.6964285714285714,0.6973919990869143,6,22
Decision Tree,motionsense,axis,ORACLE,0.7380952380952381,0.7380337475106868,5,15
Decision Tree,motionsense,axis,ORACLE,0.7440476190476191,0.743608093419302,4,2
Decision Tree,motionsense,axis,ORACLE,0.6488095238095238,0.6421620036036512,3,18
Decision Tree,motionsense,axis,ORACLE,0.7261904761904762,0.7251048507854315,2,10
Decision Tree,motionsense,axis,ORACLE,0.34523809523809523,0.34838012648080946,1,9
