Classifier,Dataset,Reduce,XAI,Accuracy,F1-Score,Dimension,Feature Removed
Decision Tree,motionsense,axis,Tree,0.8154761904761905,0.8151450597306616,24,8
Decision Tree,motionsense,axis,Tree,0.8035714285714286,0.8006628490122805,23,6
Decision Tree,motionsense,axis,Tree,0.7857142857142857,0.787887044156394,22,17
Decision Tree,motionsense,axis,Tree,0.7321428571428571,0.7367245445285372,21,16
Decision Tree,motionsense,axis,Tree,0.75,0.7477204929491452,20,9
Decision Tree,motionsense,axis,Tree,0.7797619047619048,0.7738491462908778,19,4
Decision Tree,motionsense,axis,Tree,0.6964285714285714,0.7000126803592314,18,23
Decision Tree,motionsense,axis,Tree,0.6488095238095238,0.649248179734701,17,14
Decision Tree,motionsense,axis,Tree,0.7142857142857143,0.7133757237583204,16,11
Decision Tree,motionsense,axis,Tree,0.75,0.7505421984475391,15,7
Decision Tree,motionsense,axis,Tree,0.6845238095238095,0.6922100747540295,14,0
Decision Tree,motionsense,axis,Tree,0.6309523809523809,0.6435752870570633,13,20
Decision Tree,motionsense,axis,Tree,0.6904761904761905,0.6964953782952169,12,12
Decision Tree,motionsense,axis,Tree,0.6726190476190477,0.6797909086142898,11,15
Decision Tree,motionsense,axis,Tree,0.7380952380952381,0.7415496520835503,10,2
Decision Tree,motionsense,axis,Tree,0.7678571428571429,0.7667847447574272,9,10
Decision Tree,motionsense,axis,Tree,0.7321428571428571,0.7367478494434193,8,18
Decision Tree,motionsense,axis,Tree,0.7142857142857143,0.722751282452519,7,5
Decision Tree,motionsense,axis,Tree,0.6488095238095238,0.6590086405856487,6,1
Decision Tree,motionsense,axis,Tree,0.625,0.6314282123105652,5,13
Decision Tree,motionsense,axis,Tree,0.6190476190476191,0.6273947604777854,4,21
Decision Tree,motionsense,axis,Tree,0.5714285714285714,0.5795314583245618,3,22
Decision Tree,motionsense,axis,Tree,0.6011904761904762,0.6000549751105504,2,19
Decision Tree,motionsense,axis,Tree,0.3273809523809524,0.3310665169879918,1,3
