Classifier,Dataset,Reduce,XAI,Accuracy,F1-Score,Dimension,Feature Removed
Random Forest,motionsense,axis,ORACLE,0.8392857142857143,0.8392791419107208,24,9
Random Forest,motionsense,axis,ORACLE,0.8154761904761905,0.8154389470178943,23,11
Random Forest,motionsense,axis,ORACLE,0.8214285714285714,0.8214834511102928,22,20
Random Forest,motionsense,axis,ORACLE,0.8154761904761905,0.8155711175069916,21,19
Random Forest,motionsense,axis,ORACLE,0.8154761904761905,0.8158960037967903,20,18
Random Forest,motionsense,axis,ORACLE,0.8273809523809523,0.8264479192500286,19,17
Random Forest,motionsense,axis,ORACLE,0.8035714285714286,0.8055263921740955,18,13
Random Forest,motionsense,axis,ORACLE,0.7857142857142857,0.7903926083013112,17,21
Random Forest,motionsense,axis,ORACLE,0.8035714285714286,0.8076200044824118,16,2
Random Forest,motionsense,axis,ORACLE,0.8035714285714286,0.8066575379847988,15,15
Random Forest,motionsense,axis,ORACLE,0.7976190476190477,0.8000780709260615,14,12
Random Forest,motionsense,axis,ORACLE,0.7976190476190477,0.8017967120125187,13,23
Random Forest,motionsense,axis,ORACLE,0.8095238095238095,0.811619740399637,12,10
Random Forest,motionsense,axis,ORACLE,0.8095238095238095,0.8106611225032277,11,6
Random Forest,motionsense,axis,ORACLE,0.7797619047619048,0.7804478259849398,10,5
Random Forest,motionsense,axis,ORACLE,0.7678571428571429,0.7696479525532379,9,4
Random Forest,motionsense,axis,ORACLE,0.7797619047619048,0.7799287260164567,8,3
Random Forest,motionsense,axis,ORACLE,0.7738095238095238,0.774481658692185,7,1
Random Forest,motionsense,axis,ORACLE,0.75,0.7490454747799884,6,8
Random Forest,motionsense,axis,ORACLE,0.6964285714285714,0.6959391231702444,5,7
Random Forest,motionsense,axis,ORACLE,0.7023809523809523,0.7048369085959666,4,22
Random Forest,motionsense,axis,ORACLE,0.6547619047619048,0.656191208775443,3,0
Random Forest,motionsense,axis,ORACLE,0.6369047619047619,0.6329366079016929,2,16
Random Forest,motionsense,axis,ORACLE,0.3333333333333333,0.34151805832998816,1,14
