Classifier,Dataset,Reduce,XAI,Accuracy,F1-Score,Dimension,Feature Removed
Random Forest,motionsense,axis,SHAP,0.8392857142857143,0.8392791419107208,24,8
Random Forest,motionsense,axis,SHAP,0.8571428571428571,0.8580066283786792,23,6
Random Forest,motionsense,axis,SHAP,0.8095238095238095,0.812753240807155,22,4
Random Forest,motionsense,axis,SHAP,0.8333333333333334,0.8359964914604068,21,0
Random Forest,motionsense,axis,SHAP,0.8095238095238095,0.8144650033359709,20,12
Random Forest,motionsense,axis,SHAP,0.8154761904761905,0.8172691727764215,19,14
Random Forest,motionsense,axis,SHAP,0.8214285714285714,0.8240277266593057,18,9
Random Forest,motionsense,axis,SHAP,0.8154761904761905,0.818778363357869,17,20
Random Forest,motionsense,axis,SHAP,0.8214285714285714,0.8242407837190356,16,7
Random Forest,motionsense,axis,SHAP,0.8273809523809523,0.8267730631490428,15,11
Random Forest,motionsense,axis,SHAP,0.8214285714285714,0.8220562724178925,14,16
Random Forest,motionsense,axis,SHAP,0.8333333333333334,0.8343303626049253,13,17
Random Forest,motionsense,axis,SHAP,0.7976190476190477,0.798403686160937,12,13
Random Forest,motionsense,axis,SHAP,0.8035714285714286,0.8063834750199427,11,10
Random Forest,motionsense,axis,SHAP,0.7142857142857143,0.7209425721658511,10,1
Random Forest,motionsense,axis,SHAP,0.7202380952380952,0.7238463274475794,9,18
Random Forest,motionsense,axis,SHAP,0.7142857142857143,0.7217285582018969,8,15
Random Forest,motionsense,axis,SHAP,0.7083333333333334,0.7082137965308123,7,23
Random Forest,motionsense,axis,SHAP,0.6666666666666666,0.6724957685741999,6,21
Random Forest,motionsense,axis,SHAP,0.6666666666666666,0.6707627670172466,5,3
Random Forest,motionsense,axis,SHAP,0.6369047619047619,0.6392988955488955,4,2
Random Forest,motionsense,axis,SHAP,0.625,0.627857265192156,3,5
Random Forest,motionsense,axis,SHAP,0.5535714285714286,0.5624180876869049,2,19
Random Forest,motionsense,axis,SHAP,0.3333333333333333,0.33289288806758954,1,22
