Classifier,Dataset,Reduce,XAI,Accuracy,F1-Score,Dimension,Feature Removed
Decision Tree,motionsense,sensor,ORACLE,0.8035714285714286,0.8055955176533597,24,23
Decision Tree,motionsense,sensor,ORACLE,0.7916666666666666,0.7922498938992852,23,9
Decision Tree,motionsense,sensor,ORACLE,0.8035714285714286,0.8060039549578876,22,21
Decision Tree,motionsense,sensor,ORACLE,0.7976190476190477,0.7981963168447189,21,7
Decision Tree,motionsense,sensor,ORACLE,0.8154761904761905,0.8170348170348168,20,14
Decision Tree,motionsense,sensor,ORACLE,0.8095238095238095,0.8104822337469724,19,1
Decision Tree,motionsense,sensor,ORACLE,0.7916666666666666,0.7917664552416325,18,19
Decision Tree,motionsense,sensor,ORACLE,0.8035714285714286,0.8046074054372077,17,22
Decision Tree,motionsense,sensor,ORACLE,0.8154761904761905,0.8152607046717323,16,16
Decision Tree,motionsense,sensor,ORACLE,0.8095238095238095,0.8099105622453324,15,15
Decision Tree,motionsense,sensor,ORACLE,0.8035714285714286,0.8043357364704095,14,20
Decision Tree,motionsense,sensor,ORACLE,0.8333333333333334,0.8340029651050247,13,5
Decision Tree,motionsense,sensor,ORACLE,0.8154761904761905,0.8188216991202434,12,18
Decision Tree,motionsense,sensor,ORACLE,0.8214285714285714,0.8241980432062651,11,17
Decision Tree,motionsense,sensor,ORACLE,0.7916666666666666,0.7924553764672929,10,10
Decision Tree,motionsense,sensor,ORACLE,0.7857142857142857,0.7854099562115203,9,12
Decision Tree,motionsense,sensor,ORACLE,0.8392857142857143,0.8409930364099466,8,11
Decision Tree,motionsense,sensor,ORACLE,0.8273809523809523,0.8297805931949217,7,8
Decision Tree,motionsense,sensor,ORACLE,0.8214285714285714,0.8215619294219391,6,4
Decision Tree,motionsense,sensor,ORACLE,0.7797619047619048,0.7803228122853145,5,3
Decision Tree,motionsense,sensor,ORACLE,0.75,0.7512057835013809,4,13
Decision Tree,motionsense,sensor,ORACLE,0.7619047619047619,0.7642520279192605,3,0
Decision Tree,motionsense,sensor,ORACLE,0.5595238095238095,0.5654894903104308,2,6
Decision Tree,motionsense,sensor,ORACLE,0.2857142857142857,0.28780234003536326,1,2
