Classifier,Dataset,Reduce,XAI,Accuracy,F1-Score,Dimension,Feature Removed
KNN,motionsense,sensor,ORACLE,0.8273809523809523,0.8300740266210099,24,0
KNN,motionsense,sensor,ORACLE,0.8154761904761905,0.8178103763446097,23,20
KNN,motionsense,sensor,ORACLE,0.8154761904761905,0.8178103763446097,22,13
KNN,motionsense,sensor,ORACLE,0.8095238095238095,0.8121328180354724,21,21
KNN,motionsense,sensor,ORACLE,0.8095238095238095,0.8130893419603096,20,17
KNN,motionsense,sensor,ORACLE,0.8095238095238095,0.8130893419603096,19,16
KNN,motionsense,sensor,ORACLE,0.8095238095238095,0.8130893419603096,18,15
KNN,motionsense,sensor,ORACLE,0.8214285714285714,0.8243442484862409,17,12
KNN,motionsense,sensor,ORACLE,0.8273809523809523,0.8282606476011654,16,22
KNN,motionsense,sensor,ORACLE,0.8154761904761905,0.8151468155500415,15,10
KNN,motionsense,sensor,ORACLE,0.8154761904761905,0.8151468155500415,14,11
KNN,motionsense,sensor,ORACLE,0.8035714285714286,0.8029458826048681,13,8
KNN,motionsense,sensor,ORACLE,0.8095238095238095,0.8087365591397851,12,6
KNN,motionsense,sensor,ORACLE,0.8095238095238095,0.8088994440002281,11,5
KNN,motionsense,sensor,ORACLE,0.8035714285714286,0.8032730688292609,10,2
KNN,motionsense,sensor,ORACLE,0.7916666666666666,0.7922140899370501,9,9
KNN,motionsense,sensor,ORACLE,0.7916666666666666,0.7922140899370501,8,7
KNN,motionsense,sensor,ORACLE,0.7976190476190477,0.7988849064117881,7,14
KNN,motionsense,sensor,ORACLE,0.7857142857142857,0.7846527586312533,6,4
KNN,motionsense,sensor,ORACLE,0.7619047619047619,0.7613143141011994,5,3
KNN,motionsense,sensor,ORACLE,0.7738095238095238,0.7728954785861079,4,18
KNN,motionsense,sensor,ORACLE,0.7619047619047619,0.7605951665039378,3,23
KNN,motionsense,sensor,ORACLE,0.6845238095238095,0.6829422867364924,2,19
KNN,motionsense,sensor,ORACLE,0.6130952380952381,0.6127946127946128,1,1
