Classifier,Dataset,Reduce,XAI,Accuracy,F1-Score,Dimension,Feature Removed
Random Forest,motionsense,sensor,SHAP,0.8571428571428571,0.8581547095313161,24,0
Random Forest,motionsense,sensor,SHAP,0.875,0.8750178301902439,23,1
Random Forest,motionsense,sensor,SHAP,0.8452380952380952,0.8463017763726448,22,6
Random Forest,motionsense,sensor,SHAP,0.8392857142857143,0.8398520151303943,21,12
Random Forest,motionsense,sensor,SHAP,0.8214285714285714,0.8216833470689519,20,13
Random Forest,motionsense,sensor,SHAP,0.8392857142857143,0.8393045629469196,19,23
Random Forest,motionsense,sensor,SHAP,0.8392857142857143,0.8393045629469196,18,7
Random Forest,motionsense,sensor,SHAP,0.8095238095238095,0.8092696792864941,17,9
Random Forest,motionsense,sensor,SHAP,0.8095238095238095,0.8105777530297686,16,3
Random Forest,motionsense,sensor,SHAP,0.8273809523809523,0.8283714501236926,15,5
Random Forest,motionsense,sensor,SHAP,0.8154761904761905,0.8164609454157477,14,18
Random Forest,motionsense,sensor,SHAP,0.8095238095238095,0.8103674875221786,13,16
Random Forest,motionsense,sensor,SHAP,0.8035714285714286,0.8042388284743521,12,10
Random Forest,motionsense,sensor,SHAP,0.8095238095238095,0.8090491379965065,11,20
Random Forest,motionsense,sensor,SHAP,0.8095238095238095,0.8096767717692911,10,21
Random Forest,motionsense,sensor,SHAP,0.7916666666666666,0.7913930076468177,9,2
Random Forest,motionsense,sensor,SHAP,0.8273809523809523,0.8267070627489659,8,17
Random Forest,motionsense,sensor,SHAP,0.8214285714285714,0.8228171453549824,7,11
Random Forest,motionsense,sensor,SHAP,0.8154761904761905,0.816045954333271,6,4
Random Forest,motionsense,sensor,SHAP,0.75,0.7505120917715805,5,14
Random Forest,motionsense,sensor,SHAP,0.7559523809523809,0.7579769473983383,4,15
Random Forest,motionsense,sensor,SHAP,0.7261904761904762,0.733767868305541,3,19
Random Forest,motionsense,sensor,SHAP,0.6071428571428571,0.6153133098237848,2,8
Random Forest,motionsense,sensor,SHAP,0.30952380952380953,0.3021901704986326,1,22
