Classifier,Dataset,Reduce,XAI,Accuracy,F1-Score,Dimension,Feature Removed
SVM,motionsense,sensor,SHAP,0.8452380952380952,0.844971349738084,24,0
SVM,motionsense,sensor,SHAP,0.8333333333333334,0.8328966459225571,23,12
SVM,motionsense,sensor,SHAP,0.8392857142857143,0.8395697869382078,22,1
SVM,motionsense,sensor,SHAP,0.8273809523809523,0.8263774858602444,21,13
SVM,motionsense,sensor,SHAP,0.8273809523809523,0.8275508523030108,20,23
SVM,motionsense,sensor,SHAP,0.8154761904761905,0.8157396708772612,19,4
SVM,motionsense,sensor,SHAP,0.8333333333333334,0.8302692061979987,18,21
SVM,motionsense,sensor,SHAP,0.8095238095238095,0.8084409662858724,17,7
SVM,motionsense,sensor,SHAP,0.7916666666666666,0.7898512299067373,16,3
SVM,motionsense,sensor,SHAP,0.7797619047619048,0.7752583659726517,15,14
SVM,motionsense,sensor,SHAP,0.8035714285714286,0.7963963808985982,14,19
SVM,motionsense,sensor,SHAP,0.8035714285714286,0.7977214541730672,13,15
SVM,motionsense,sensor,SHAP,0.8095238095238095,0.8046658986175115,12,16
SVM,motionsense,sensor,SHAP,0.8095238095238095,0.8041170634920635,11,6
SVM,motionsense,sensor,SHAP,0.7976190476190477,0.7912127037382407,10,2
SVM,motionsense,sensor,SHAP,0.8154761904761905,0.8071203563642476,9,18
SVM,motionsense,sensor,SHAP,0.7916666666666666,0.7832919198275122,8,11
SVM,motionsense,sensor,SHAP,0.8095238095238095,0.8059387012709113,7,10
SVM,motionsense,sensor,SHAP,0.8095238095238095,0.8059387012709113,6,9
SVM,motionsense,sensor,SHAP,0.8154761904761905,0.8110874672449625,5,8
SVM,motionsense,sensor,SHAP,0.7678571428571429,0.7568564224243738,4,5
SVM,motionsense,sensor,SHAP,0.7559523809523809,0.7394176343578138,3,20
SVM,motionsense,sensor,SHAP,0.6190476190476191,0.5704750204750204,2,17
SVM,motionsense,sensor,SHAP,0.4880952380952381,0.4100870647349521,1,22
