Classifier,Dataset,Reduce,XAI,Accuracy,F1-Score,Dimension,Feature Removed
Decision Tree,realworld_thigh,all,ORACLE,0.6071428571428571,0.6115845073145659,24,17
Decision Tree,realworld_thigh,all,ORACLE,0.5595238095238095,0.5652504423985613,23,16
Decision Tree,realworld_thigh,all,ORACLE,0.5416666666666666,0.5450218849835097,22,11
Decision Tree,realworld_thigh,all,ORACLE,0.5833333333333334,0.5838556780497387,21,2
Decision Tree,realworld_thigh,all,ORACLE,0.5714285714285714,0.5708894803347576,20,4
Decision Tree,realworld_thigh,all,ORACLE,0.5654761904761905,0.5654995331465921,19,15
Decision Tree,realworld_thigh,all,ORACLE,0.5773809523809523,0.5729994939776468,18,9
Decision Tree,realworld_thigh,all,ORACLE,0.5714285714285714,0.57186821168676,17,10
Decision Tree,realworld_thigh,all,ORACLE,0.5297619047619048,0.529721750517051,16,13
Decision Tree,realworld_thigh,all,ORACLE,0.5357142857142857,0.5345822162761094,15,14
Decision Tree,realworld_thigh,all,ORACLE,0.5297619047619048,0.5277448044884624,14,22
Decision Tree,realworld_thigh,all,ORACLE,0.5476190476190477,0.5480291395804217,13,12
Decision Tree,realworld_thigh,all,ORACLE,0.5297619047619048,0.5321824704035608,12,20
Decision Tree,realworld_thigh,all,ORACLE,0.5416666666666666,0.5406896308686099,11,19
Decision Tree,realworld_thigh,all,ORACLE,0.5773809523809523,0.5780799224754816,10,23
Decision Tree,realworld_thigh,all,ORACLE,0.5773809523809523,0.5761068078038505,9,6
Decision Tree,realworld_thigh,all,ORACLE,0.6130952380952381,0.6129072726092013,8,3
Decision Tree,realworld_thigh,all,ORACLE,0.6190476190476191,0.6156652440831901,7,5
Decision Tree,realworld_thigh,all,ORACLE,0.6130952380952381,0.6135560819668184,6,21
Decision Tree,realworld_thigh,all,ORACLE,0.6190476190476191,0.6150098950276002,5,0
Decision Tree,realworld_thigh,all,ORACLE,0.6011904761904762,0.6026971322833931,4,7
Decision Tree,realworld_thigh,all,ORACLE,0.5833333333333334,0.5795699933520766,3,1
Decision Tree,realworld_thigh,all,ORACLE,0.5119047619047619,0.5101265082820113,2,8
Decision Tree,realworld_thigh,all,ORACLE,0.27380952380952384,0.2787727501448048,1,18
