Classifier,Dataset,Reduce,XAI,Accuracy,F1-Score,Dimension,Feature Removed
Decision Tree,realworld_thigh,all,SHAP,0.6071428571428571,0.6115845073145659,24,0
Decision Tree,realworld_thigh,all,SHAP,0.6011904761904762,0.6037278435580643,23,1
Decision Tree,realworld_thigh,all,SHAP,0.6071428571428571,0.610759758223051,22,6
Decision Tree,realworld_thigh,all,SHAP,0.5892857142857143,0.5914665126646694,21,7
Decision Tree,realworld_thigh,all,SHAP,0.6369047619047619,0.6402748304709088,20,21
Decision Tree,realworld_thigh,all,SHAP,0.625,0.628378208806398,19,4
Decision Tree,realworld_thigh,all,SHAP,0.5892857142857143,0.595427053954979,18,3
Decision Tree,realworld_thigh,all,SHAP,0.6428571428571429,0.648807472003567,17,11
Decision Tree,realworld_thigh,all,SHAP,0.6130952380952381,0.6170881226053639,16,18
Decision Tree,realworld_thigh,all,SHAP,0.6071428571428571,0.6104088933170111,15,8
Decision Tree,realworld_thigh,all,SHAP,0.5833333333333334,0.5867553409598177,14,15
Decision Tree,realworld_thigh,all,SHAP,0.6011904761904762,0.6046384161695236,13,5
Decision Tree,realworld_thigh,all,SHAP,0.625,0.6277494435929508,12,2
Decision Tree,realworld_thigh,all,SHAP,0.6071428571428571,0.6076617119318212,11,22
Decision Tree,realworld_thigh,all,SHAP,0.6071428571428571,0.6075969157516967,10,23
Decision Tree,realworld_thigh,all,SHAP,0.5952380952380952,0.5954433221099887,9,12
Decision Tree,realworld_thigh,all,SHAP,0.5714285714285714,0.5728266531002476,8,19
Decision Tree,realworld_thigh,all,SHAP,0.6071428571428571,0.6092987039175787,7,13
Decision Tree,realworld_thigh,all,SHAP,0.6190476190476191,0.6212354055470612,6,16
Decision Tree,realworld_thigh,all,SHAP,0.6369047619047619,0.6385611200938104,5,10
Decision Tree,realworld_thigh,all,SHAP,0.5952380952380952,0.5968193152101199,4,20
Decision Tree,realworld_thigh,all,SHAP,0.5595238095238095,0.5561714623852855,3,9
Decision Tree,realworld_thigh,all,SHAP,0.5178571428571429,0.5164863007151287,2,17
Decision Tree,realworld_thigh,all,SHAP,0.39880952380952384,0.3889979752048717,1,14
