Classifier,Dataset,Reduce,XAI,Accuracy,F1-Score,Dimension,Feature Removed
Decision Tree,realworld_thigh,all,Tree,0.6071428571428571,0.6115845073145659,24,1
Decision Tree,realworld_thigh,all,Tree,0.6130952380952381,0.6170784435721889,23,0
Decision Tree,realworld_thigh,all,Tree,0.6071428571428571,0.610759758223051,22,6
Decision Tree,realworld_thigh,all,Tree,0.5892857142857143,0.5914665126646694,21,7
Decision Tree,realworld_thigh,all,Tree,0.6369047619047619,0.6402748304709088,20,4
Decision Tree,realworld_thigh,all,Tree,0.6428571428571429,0.6476620235362852,19,21
Decision Tree,realworld_thigh,all,Tree,0.5892857142857143,0.595427053954979,18,22
Decision Tree,realworld_thigh,all,Tree,0.6190476190476191,0.6255252240449609,17,5
Decision Tree,realworld_thigh,all,Tree,0.625,0.6313598182524737,16,11
Decision Tree,realworld_thigh,all,Tree,0.5714285714285714,0.5714672225870434,15,2
Decision Tree,realworld_thigh,all,Tree,0.5714285714285714,0.5689730639730639,14,18
Decision Tree,realworld_thigh,all,Tree,0.5714285714285714,0.5664921619575601,13,16
Decision Tree,realworld_thigh,all,Tree,0.5714285714285714,0.5680426661727023,12,3
Decision Tree,realworld_thigh,all,Tree,0.5595238095238095,0.5626558892944195,11,23
Decision Tree,realworld_thigh,all,Tree,0.5773809523809523,0.5748835640496863,10,10
Decision Tree,realworld_thigh,all,Tree,0.5773809523809523,0.5783048184771834,9,19
Decision Tree,realworld_thigh,all,Tree,0.5952380952380952,0.5972867924027603,8,20
Decision Tree,realworld_thigh,all,Tree,0.6011904761904762,0.6031220657204847,7,12
Decision Tree,realworld_thigh,all,Tree,0.5892857142857143,0.5904966153585652,6,17
Decision Tree,realworld_thigh,all,Tree,0.5773809523809523,0.5792782076680382,5,15
Decision Tree,realworld_thigh,all,Tree,0.5654761904761905,0.5702453010825653,4,13
Decision Tree,realworld_thigh,all,Tree,0.5952380952380952,0.5971652195975519,3,9
Decision Tree,realworld_thigh,all,Tree,0.5654761904761905,0.5680385705329741,2,8
Decision Tree,realworld_thigh,all,Tree,0.39880952380952384,0.3889979752048717,1,14
