Classifier,Dataset,Reduce,XAI,Accuracy,F1-Score,Dimension,Feature Removed
Random Forest,realworld_thigh,all,LIME,0.6964285714285714,0.7014488945347933,24,1
Random Forest,realworld_thigh,all,LIME,0.7023809523809523,0.7074673215934563,23,21
Random Forest,realworld_thigh,all,LIME,0.7142857142857143,0.7188683144030289,22,0
Random Forest,realworld_thigh,all,LIME,0.6904761904761905,0.6954808362135948,21,5
Random Forest,realworld_thigh,all,LIME,0.6904761904761905,0.6966255560970523,20,8
Random Forest,realworld_thigh,all,LIME,0.7023809523809523,0.7081348820649384,19,3
Random Forest,realworld_thigh,all,LIME,0.6904761904761905,0.6967630080580806,18,20
Random Forest,realworld_thigh,all,LIME,0.6904761904761905,0.6964412725087997,17,10
Random Forest,realworld_thigh,all,LIME,0.6726190476190477,0.6789391593958158,16,7
Random Forest,realworld_thigh,all,LIME,0.6845238095238095,0.6897789232485766,15,6
Random Forest,realworld_thigh,all,LIME,0.6726190476190477,0.6781575437192421,14,23
Random Forest,realworld_thigh,all,LIME,0.6845238095238095,0.6905428688306808,13,2
Random Forest,realworld_thigh,all,LIME,0.6845238095238095,0.6897731070099491,12,4
Random Forest,realworld_thigh,all,LIME,0.6785714285714286,0.682518360578062,11,18
Random Forest,realworld_thigh,all,LIME,0.6845238095238095,0.68989257441454,10,17
Random Forest,realworld_thigh,all,LIME,0.6726190476190477,0.6787660438976229,9,22
Random Forest,realworld_thigh,all,LIME,0.6785714285714286,0.6842369523433597,8,12
Random Forest,realworld_thigh,all,LIME,0.6666666666666666,0.6718632673313554,7,19
Random Forest,realworld_thigh,all,LIME,0.6309523809523809,0.6381287135067462,6,16
Random Forest,realworld_thigh,all,LIME,0.6488095238095238,0.6542368052537544,5,14
Random Forest,realworld_thigh,all,LIME,0.5952380952380952,0.5996363891573914,4,15
Random Forest,realworld_thigh,all,LIME,0.5535714285714286,0.5502258051649228,3,13
Random Forest,realworld_thigh,all,LIME,0.4702380952380952,0.4706573117198738,2,11
Random Forest,realworld_thigh,all,LIME,0.19047619047619047,0.18842191284692156,1,9
