Classifier,Dataset,Reduce,XAI,Accuracy,F1-Score,Dimension,Feature Removed
SVM,realworld_thigh,all,SHAP,0.6190476190476191,0.6237204450955782,24,0
SVM,realworld_thigh,all,SHAP,0.6071428571428571,0.607534565058809,23,1
SVM,realworld_thigh,all,SHAP,0.6071428571428571,0.6110927511870168,22,2
SVM,realworld_thigh,all,SHAP,0.6011904761904762,0.6075117495958495,21,4
SVM,realworld_thigh,all,SHAP,0.5773809523809523,0.5855775307352169,20,8
SVM,realworld_thigh,all,SHAP,0.5833333333333334,0.5917183681932587,19,10
SVM,realworld_thigh,all,SHAP,0.5416666666666666,0.5411793979205659,18,3
SVM,realworld_thigh,all,SHAP,0.5714285714285714,0.5793933486915943,17,6
SVM,realworld_thigh,all,SHAP,0.6011904761904762,0.6045258374707526,16,7
SVM,realworld_thigh,all,SHAP,0.6011904761904762,0.6047897829401145,15,15
SVM,realworld_thigh,all,SHAP,0.5952380952380952,0.5981487086359968,14,5
SVM,realworld_thigh,all,SHAP,0.6071428571428571,0.6106297347440721,13,23
SVM,realworld_thigh,all,SHAP,0.5535714285714286,0.5587580209188463,12,11
SVM,realworld_thigh,all,SHAP,0.5892857142857143,0.593873443901319,11,20
SVM,realworld_thigh,all,SHAP,0.5952380952380952,0.6010076552449434,10,17
SVM,realworld_thigh,all,SHAP,0.6130952380952381,0.6165506349106972,9,22
SVM,realworld_thigh,all,SHAP,0.5654761904761905,0.5603644503644504,8,13
SVM,realworld_thigh,all,SHAP,0.5595238095238095,0.5457093182143652,7,14
SVM,realworld_thigh,all,SHAP,0.494047619047619,0.4749277960670365,6,16
SVM,realworld_thigh,all,SHAP,0.4880952380952381,0.4670852191041163,5,19
SVM,realworld_thigh,all,SHAP,0.494047619047619,0.4557221809437764,4,18
SVM,realworld_thigh,all,SHAP,0.5476190476190477,0.5435258961493025,3,12
SVM,realworld_thigh,all,SHAP,0.4404761904761904,0.3774251440628951,2,9
SVM,realworld_thigh,all,SHAP,0.5833333333333334,0.590034481220603,1,21
