Classifier,Dataset,Reduce,XAI,Accuracy,F1-Score,Dimension,Feature Removed
Decision Tree,realworld_thigh,axis,LIME,0.6726190476190477,0.6760290423567565,24,1
Decision Tree,realworld_thigh,axis,LIME,0.6428571428571429,0.6417447322689257,23,9
Decision Tree,realworld_thigh,axis,LIME,0.5892857142857143,0.5919727236035041,22,11
Decision Tree,realworld_thigh,axis,LIME,0.6309523809523809,0.6353281057997219,21,13
Decision Tree,realworld_thigh,axis,LIME,0.625,0.6295060714924893,20,17
Decision Tree,realworld_thigh,axis,LIME,0.625,0.6300763288998583,19,6
Decision Tree,realworld_thigh,axis,LIME,0.6011904761904762,0.6042809277836502,18,7
Decision Tree,realworld_thigh,axis,LIME,0.6726190476190477,0.6755625217694182,17,4
Decision Tree,realworld_thigh,axis,LIME,0.6309523809523809,0.6328617040686005,16,8
Decision Tree,realworld_thigh,axis,LIME,0.6428571428571429,0.646274109778203,15,23
Decision Tree,realworld_thigh,axis,LIME,0.6488095238095238,0.6513319575685167,14,5
Decision Tree,realworld_thigh,axis,LIME,0.6011904761904762,0.6035190615835777,13,16
Decision Tree,realworld_thigh,axis,LIME,0.6011904761904762,0.6007418570802251,12,2
Decision Tree,realworld_thigh,axis,LIME,0.5833333333333334,0.5773907952659946,11,19
Decision Tree,realworld_thigh,axis,LIME,0.625,0.6224333880715224,10,15
Decision Tree,realworld_thigh,axis,LIME,0.6428571428571429,0.6424268380558537,9,10
Decision Tree,realworld_thigh,axis,LIME,0.6488095238095238,0.649801540049218,8,20
Decision Tree,realworld_thigh,axis,LIME,0.6428571428571429,0.646248698612215,7,18
Decision Tree,realworld_thigh,axis,LIME,0.6488095238095238,0.6500059514210458,6,0
Decision Tree,realworld_thigh,axis,LIME,0.5952380952380952,0.5923938761860197,5,22
Decision Tree,realworld_thigh,axis,LIME,0.5952380952380952,0.5966629916275737,4,14
Decision Tree,realworld_thigh,axis,LIME,0.4880952380952381,0.4875014156708959,3,21
Decision Tree,realworld_thigh,axis,LIME,0.4761904761904761,0.4790415852863754,2,12
Decision Tree,realworld_thigh,axis,LIME,0.30357142857142855,0.2985508681587113,1,3
