Classifier,Dataset,Reduce,XAI,Accuracy,F1-Score,Dimension,Feature Removed
Decision Tree,realworld_thigh,axis,SHAP,0.6726190476190477,0.6760290423567565,24,1
Decision Tree,realworld_thigh,axis,SHAP,0.6428571428571429,0.6417447322689257,23,9
Decision Tree,realworld_thigh,axis,SHAP,0.5892857142857143,0.5919727236035041,22,6
Decision Tree,realworld_thigh,axis,SHAP,0.625,0.6292392431650413,21,7
Decision Tree,realworld_thigh,axis,SHAP,0.625,0.6322875598326763,20,11
Decision Tree,realworld_thigh,axis,SHAP,0.6607142857142857,0.6639381383866678,19,4
Decision Tree,realworld_thigh,axis,SHAP,0.625,0.6257743197749037,18,5
Decision Tree,realworld_thigh,axis,SHAP,0.6130952380952381,0.6159176221095726,17,8
Decision Tree,realworld_thigh,axis,SHAP,0.5892857142857143,0.5933276793304386,16,23
Decision Tree,realworld_thigh,axis,SHAP,0.6071428571428571,0.6104678760578984,15,17
Decision Tree,realworld_thigh,axis,SHAP,0.6190476190476191,0.6227555000780153,14,16
Decision Tree,realworld_thigh,axis,SHAP,0.5952380952380952,0.5945424185357098,13,14
Decision Tree,realworld_thigh,axis,SHAP,0.5297619047619048,0.5318727105821047,12,15
Decision Tree,realworld_thigh,axis,SHAP,0.5833333333333334,0.5805839514315027,11,10
Decision Tree,realworld_thigh,axis,SHAP,0.6309523809523809,0.632999926374373,10,19
Decision Tree,realworld_thigh,axis,SHAP,0.6011904761904762,0.6034864276180102,9,2
Decision Tree,realworld_thigh,axis,SHAP,0.6666666666666666,0.6659047143508853,8,13
Decision Tree,realworld_thigh,axis,SHAP,0.6726190476190477,0.6716614123399914,7,18
Decision Tree,realworld_thigh,axis,SHAP,0.5773809523809523,0.5800249330501431,6,0
Decision Tree,realworld_thigh,axis,SHAP,0.5476190476190477,0.5442345483106167,5,20
Decision Tree,realworld_thigh,axis,SHAP,0.5535714285714286,0.5540922474953393,4,22
Decision Tree,realworld_thigh,axis,SHAP,0.4880952380952381,0.4875014156708959,3,12
Decision Tree,realworld_thigh,axis,SHAP,0.4642857142857143,0.4611158792201595,2,3
Decision Tree,realworld_thigh,axis,SHAP,0.4523809523809524,0.44878801981447597,1,21
