Classifier,Dataset,Reduce,XAI,Accuracy,F1-Score,Dimension,Feature Removed
Decision Tree,realworld_thigh,axis,Tree,0.6726190476190477,0.6760290423567565,24,1
Decision Tree,realworld_thigh,axis,Tree,0.6428571428571429,0.6417447322689257,23,9
Decision Tree,realworld_thigh,axis,Tree,0.5892857142857143,0.5919727236035041,22,11
Decision Tree,realworld_thigh,axis,Tree,0.6309523809523809,0.6353281057997219,21,6
Decision Tree,realworld_thigh,axis,Tree,0.6547619047619048,0.6582305795278484,20,5
Decision Tree,realworld_thigh,axis,Tree,0.5952380952380952,0.5951602476514237,19,7
Decision Tree,realworld_thigh,axis,Tree,0.6726190476190477,0.6770298284630991,18,8
Decision Tree,realworld_thigh,axis,Tree,0.6071428571428571,0.6089873119049127,17,23
Decision Tree,realworld_thigh,axis,Tree,0.6309523809523809,0.6333629519537498,16,4
Decision Tree,realworld_thigh,axis,Tree,0.6071428571428571,0.6104678760578984,15,17
Decision Tree,realworld_thigh,axis,Tree,0.6190476190476191,0.6227555000780153,14,14
Decision Tree,realworld_thigh,axis,Tree,0.5714285714285714,0.5771641370626625,13,15
Decision Tree,realworld_thigh,axis,Tree,0.6309523809523809,0.6298298636308987,12,20
Decision Tree,realworld_thigh,axis,Tree,0.6130952380952381,0.6139352595926045,11,16
Decision Tree,realworld_thigh,axis,Tree,0.5892857142857143,0.5868624113944059,10,19
Decision Tree,realworld_thigh,axis,Tree,0.5833333333333334,0.5843010700730448,9,2
Decision Tree,realworld_thigh,axis,Tree,0.6309523809523809,0.6351397032269029,8,13
Decision Tree,realworld_thigh,axis,Tree,0.6011904761904762,0.604385642166681,7,10
Decision Tree,realworld_thigh,axis,Tree,0.625,0.6252725133159915,6,12
Decision Tree,realworld_thigh,axis,Tree,0.6488095238095238,0.6480243929324218,5,0
Decision Tree,realworld_thigh,axis,Tree,0.5654761904761905,0.5615469990904073,4,18
Decision Tree,realworld_thigh,axis,Tree,0.5476190476190477,0.5528239969343368,3,3
Decision Tree,realworld_thigh,axis,Tree,0.5357142857142857,0.5327063641720864,2,22
Decision Tree,realworld_thigh,axis,Tree,0.4523809523809524,0.44878801981447597,1,21
