Classifier,Dataset,Reduce,XAI,Accuracy,F1-Score,Dimension,Feature Removed
SVM,realworld_thigh,axis,LIME,0.7261904761904762,0.7299626230077356,24,6
SVM,realworld_thigh,axis,LIME,0.7083333333333334,0.7133580021511056,23,4
SVM,realworld_thigh,axis,LIME,0.6845238095238095,0.6916961042166232,22,0
SVM,realworld_thigh,axis,LIME,0.7023809523809523,0.7087890918287593,21,8
SVM,realworld_thigh,axis,LIME,0.7142857142857143,0.7193118785359403,20,1
SVM,realworld_thigh,axis,LIME,0.7023809523809523,0.7090279620620178,19,12
SVM,realworld_thigh,axis,LIME,0.6726190476190477,0.6785440264746412,18,7
SVM,realworld_thigh,axis,LIME,0.6904761904761905,0.6976802235731694,17,16
SVM,realworld_thigh,axis,LIME,0.6964285714285714,0.7028828801224379,16,13
SVM,realworld_thigh,axis,LIME,0.6547619047619048,0.6598029253956668,15,11
SVM,realworld_thigh,axis,LIME,0.6607142857142857,0.6651542328820711,14,20
SVM,realworld_thigh,axis,LIME,0.6488095238095238,0.65257778904392,13,21
SVM,realworld_thigh,axis,LIME,0.6428571428571429,0.6466814713575467,12,9
SVM,realworld_thigh,axis,LIME,0.6369047619047619,0.6404811419520761,11,22
SVM,realworld_thigh,axis,LIME,0.6190476190476191,0.62008823865957,10,14
SVM,realworld_thigh,axis,LIME,0.6011904761904762,0.600905541042937,9,23
SVM,realworld_thigh,axis,LIME,0.5892857142857143,0.5942583538278626,8,19
SVM,realworld_thigh,axis,LIME,0.5654761904761905,0.5706102591695812,7,2
SVM,realworld_thigh,axis,LIME,0.5773809523809523,0.5828099793246988,6,17
SVM,realworld_thigh,axis,LIME,0.6071428571428571,0.6119159131952309,5,10
SVM,realworld_thigh,axis,LIME,0.5238095238095238,0.5138699011424673,4,5
SVM,realworld_thigh,axis,LIME,0.4583333333333333,0.4413253949991315,3,18
SVM,realworld_thigh,axis,LIME,0.369047619047619,0.3504404678973645,2,15
SVM,realworld_thigh,axis,LIME,0.39285714285714285,0.35383479107343563,1,3
