Classifier,Dataset,Reduce,XAI,Accuracy,F1-Score,Dimension,Feature Removed
KNN,realworld_thigh,sensor,SHAP,0.6845238095238095,0.6902624683386659,24,0
KNN,realworld_thigh,sensor,SHAP,0.6904761904761905,0.6959085692080405,23,12
KNN,realworld_thigh,sensor,SHAP,0.7023809523809523,0.7056859780949417,22,1
KNN,realworld_thigh,sensor,SHAP,0.6547619047619048,0.6614880682488757,21,13
KNN,realworld_thigh,sensor,SHAP,0.6666666666666666,0.6711637528574649,20,4
KNN,realworld_thigh,sensor,SHAP,0.6785714285714286,0.6853507361188674,19,7
KNN,realworld_thigh,sensor,SHAP,0.6785714285714286,0.6849487777021492,18,23
KNN,realworld_thigh,sensor,SHAP,0.7023809523809523,0.7085356492323704,17,21
KNN,realworld_thigh,sensor,SHAP,0.6904761904761905,0.6980845689136569,16,3
KNN,realworld_thigh,sensor,SHAP,0.6904761904761905,0.6957654117984178,15,15
KNN,realworld_thigh,sensor,SHAP,0.7023809523809523,0.7084881422048492,14,14
KNN,realworld_thigh,sensor,SHAP,0.6785714285714286,0.6856635090315503,13,19
KNN,realworld_thigh,sensor,SHAP,0.6845238095238095,0.6903435381960202,12,6
KNN,realworld_thigh,sensor,SHAP,0.6726190476190477,0.6798461378938997,11,16
KNN,realworld_thigh,sensor,SHAP,0.6726190476190477,0.6797251170740864,10,18
KNN,realworld_thigh,sensor,SHAP,0.6607142857142857,0.667658924557544,9,2
KNN,realworld_thigh,sensor,SHAP,0.6607142857142857,0.6677878581253801,8,22
KNN,realworld_thigh,sensor,SHAP,0.625,0.6320818893595174,7,5
KNN,realworld_thigh,sensor,SHAP,0.6130952380952381,0.6191150858925681,6,11
KNN,realworld_thigh,sensor,SHAP,0.5595238095238095,0.5654350658301669,5,9
KNN,realworld_thigh,sensor,SHAP,0.5714285714285714,0.5730054818133449,4,8
KNN,realworld_thigh,sensor,SHAP,0.5119047619047619,0.51281328320802,3,10
KNN,realworld_thigh,sensor,SHAP,0.4821428571428571,0.4885563711650668,2,17
KNN,realworld_thigh,sensor,SHAP,0.26785714285714285,0.2760077001982398,1,20
