Classifier,Dataset,Reduce,XAI,Accuracy,F1-Score,Dimension,Feature Removed
Random Forest,realworld_thigh,sensor,LIME,0.6845238095238095,0.6892096688944221,24,0
Random Forest,realworld_thigh,sensor,LIME,0.6785714285714286,0.6824765377812083,23,13
Random Forest,realworld_thigh,sensor,LIME,0.6845238095238095,0.6920753639408539,22,1
Random Forest,realworld_thigh,sensor,LIME,0.6547619047619048,0.6607907660554331,21,9
Random Forest,realworld_thigh,sensor,LIME,0.625,0.6310004281432853,20,17
Random Forest,realworld_thigh,sensor,LIME,0.6607142857142857,0.6651483381711,19,6
Random Forest,realworld_thigh,sensor,LIME,0.6547619047619048,0.6620840092309325,18,7
Random Forest,realworld_thigh,sensor,LIME,0.6369047619047619,0.6423876565992828,17,12
Random Forest,realworld_thigh,sensor,LIME,0.6428571428571429,0.6490245951034882,16,5
Random Forest,realworld_thigh,sensor,LIME,0.6428571428571429,0.6491196541348517,15,19
Random Forest,realworld_thigh,sensor,LIME,0.6309523809523809,0.6380111105475055,14,8
Random Forest,realworld_thigh,sensor,LIME,0.6488095238095238,0.6545468580841473,13,3
Random Forest,realworld_thigh,sensor,LIME,0.6428571428571429,0.6481200472711088,12,11
Random Forest,realworld_thigh,sensor,LIME,0.6071428571428571,0.6106170210440494,11,16
Random Forest,realworld_thigh,sensor,LIME,0.625,0.6315501883803991,10,4
Random Forest,realworld_thigh,sensor,LIME,0.6190476190476191,0.6242086223469202,9,22
Random Forest,realworld_thigh,sensor,LIME,0.6428571428571429,0.64805310857055,8,23
Random Forest,realworld_thigh,sensor,LIME,0.6428571428571429,0.6485330832130299,7,10
Random Forest,realworld_thigh,sensor,LIME,0.6071428571428571,0.6114569609134827,6,15
Random Forest,realworld_thigh,sensor,LIME,0.5773809523809523,0.5823109817363511,5,2
Random Forest,realworld_thigh,sensor,LIME,0.4821428571428571,0.4703599254794806,4,21
Random Forest,realworld_thigh,sensor,LIME,0.5178571428571429,0.5121424815136782,3,18
Random Forest,realworld_thigh,sensor,LIME,0.5,0.5040970433577483,2,20
Random Forest,realworld_thigh,sensor,LIME,0.2857142857142857,0.29017525776275965,1,14
