Classifier,Dataset,Reduce,XAI,Accuracy,F1-Score,Dimension,Feature Removed
Random Forest,realworld_thigh,sensor,Random Forest,0.6845238095238095,0.6892096688944221,24,0
Random Forest,realworld_thigh,sensor,Random Forest,0.6785714285714286,0.6824765377812083,23,13
Random Forest,realworld_thigh,sensor,Random Forest,0.6845238095238095,0.6920753639408539,22,6
Random Forest,realworld_thigh,sensor,Random Forest,0.6666666666666666,0.6724724203993944,21,9
Random Forest,realworld_thigh,sensor,Random Forest,0.6607142857142857,0.6677731270082868,20,7
Random Forest,realworld_thigh,sensor,Random Forest,0.6666666666666666,0.6704409011636758,19,17
Random Forest,realworld_thigh,sensor,Random Forest,0.6607142857142857,0.6655093669099271,18,1
Random Forest,realworld_thigh,sensor,Random Forest,0.6369047619047619,0.6423876565992828,17,12
Random Forest,realworld_thigh,sensor,Random Forest,0.6428571428571429,0.6490245951034882,16,4
Random Forest,realworld_thigh,sensor,Random Forest,0.6428571428571429,0.64698216254755,15,5
Random Forest,realworld_thigh,sensor,Random Forest,0.6190476190476191,0.6269931686777876,14,16
Random Forest,realworld_thigh,sensor,Random Forest,0.6190476190476191,0.6279785954785955,13,22
Random Forest,realworld_thigh,sensor,Random Forest,0.6309523809523809,0.640282322312589,12,2
Random Forest,realworld_thigh,sensor,Random Forest,0.6428571428571429,0.6496429716667812,11,3
Random Forest,realworld_thigh,sensor,Random Forest,0.6428571428571429,0.6465113012875162,10,10
Random Forest,realworld_thigh,sensor,Random Forest,0.6130952380952381,0.6148890116975224,9,11
Random Forest,realworld_thigh,sensor,Random Forest,0.5416666666666666,0.5228884738384191,8,21
Random Forest,realworld_thigh,sensor,Random Forest,0.5654761904761905,0.5520823554023239,7,8
Random Forest,realworld_thigh,sensor,Random Forest,0.5476190476190477,0.5352812530107216,6,19
Random Forest,realworld_thigh,sensor,Random Forest,0.5119047619047619,0.5033459735206366,5,23
Random Forest,realworld_thigh,sensor,Random Forest,0.5416666666666666,0.5249741217373477,4,20
Random Forest,realworld_thigh,sensor,Random Forest,0.4523809523809524,0.445578658382014,3,18
Random Forest,realworld_thigh,sensor,Random Forest,0.3928571428571428,0.3915618429319801,2,15
Random Forest,realworld_thigh,sensor,Random Forest,0.2857142857142857,0.29017525776275965,1,14
