Classifier,Dataset,Reduce,XAI,Accuracy,F1-Score,Dimension,Feature Removed
SVM,realworld_thigh,sensor,LIME,0.6547619047619048,0.6601384234362958,24,0
SVM,realworld_thigh,sensor,LIME,0.6369047619047619,0.6412474046840118,23,1
SVM,realworld_thigh,sensor,LIME,0.6547619047619048,0.6597636974214814,22,12
SVM,realworld_thigh,sensor,LIME,0.6547619047619048,0.6605789075464097,21,13
SVM,realworld_thigh,sensor,LIME,0.6726190476190477,0.6786081435961568,20,3
SVM,realworld_thigh,sensor,LIME,0.6666666666666666,0.6726881057795673,19,23
SVM,realworld_thigh,sensor,LIME,0.6726190476190477,0.6791446208112873,18,4
SVM,realworld_thigh,sensor,LIME,0.6607142857142857,0.6641134390171465,17,16
SVM,realworld_thigh,sensor,LIME,0.6607142857142857,0.6651041392760048,16,7
SVM,realworld_thigh,sensor,LIME,0.6488095238095238,0.6553346713216738,15,19
SVM,realworld_thigh,sensor,LIME,0.6309523809523809,0.6249358305240224,14,2
SVM,realworld_thigh,sensor,LIME,0.6428571428571429,0.6424317066818704,13,21
SVM,realworld_thigh,sensor,LIME,0.6071428571428571,0.6006950536832557,12,14
SVM,realworld_thigh,sensor,LIME,0.6130952380952381,0.6109594598282881,11,5
SVM,realworld_thigh,sensor,LIME,0.6071428571428571,0.6017525063547827,10,18
SVM,realworld_thigh,sensor,LIME,0.6904761904761905,0.6966955162928503,9,15
SVM,realworld_thigh,sensor,LIME,0.6904761904761905,0.6964545258389023,8,11
SVM,realworld_thigh,sensor,LIME,0.6666666666666666,0.6717160278218689,7,6
SVM,realworld_thigh,sensor,LIME,0.6488095238095238,0.6536132207270905,6,20
SVM,realworld_thigh,sensor,LIME,0.6547619047619048,0.6570054728565368,5,17
SVM,realworld_thigh,sensor,LIME,0.6309523809523809,0.6341158328713526,4,9
SVM,realworld_thigh,sensor,LIME,0.6011904761904762,0.6026105851543287,3,10
SVM,realworld_thigh,sensor,LIME,0.4761904761904761,0.4668413680737624,2,8
SVM,realworld_thigh,sensor,LIME,0.4880952380952381,0.4603947155659225,1,22
