Classifier,Dataset,Reduce,XAI,Accuracy,F1-Score,Dimension,Feature Removed
Decision Tree,realworld_waist,axis,LIME,0.6666666666666666,0.6669063600706039,24,1
Decision Tree,realworld_waist,axis,LIME,0.6785714285714286,0.6801916899618049,23,16
Decision Tree,realworld_waist,axis,LIME,0.6488095238095238,0.6510606793625662,22,13
Decision Tree,realworld_waist,axis,LIME,0.625,0.6249409064699302,21,5
Decision Tree,realworld_waist,axis,LIME,0.6190476190476191,0.6198483880955145,20,11
Decision Tree,realworld_waist,axis,LIME,0.6011904761904762,0.5998777095578781,19,15
Decision Tree,realworld_waist,axis,LIME,0.6726190476190477,0.664510839812514,18,4
Decision Tree,realworld_waist,axis,LIME,0.6309523809523809,0.6198798834750642,17,0
Decision Tree,realworld_waist,axis,LIME,0.6488095238095238,0.6469577240037598,16,8
Decision Tree,realworld_waist,axis,LIME,0.6547619047619048,0.6536506378071305,15,12
Decision Tree,realworld_waist,axis,LIME,0.6488095238095238,0.6507120909618681,14,17
Decision Tree,realworld_waist,axis,LIME,0.6666666666666666,0.6661164499530504,13,21
Decision Tree,realworld_waist,axis,LIME,0.6607142857142857,0.6572131555892672,12,10
Decision Tree,realworld_waist,axis,LIME,0.6488095238095238,0.6542235434024285,11,2
Decision Tree,realworld_waist,axis,LIME,0.6428571428571429,0.6413048687549595,10,14
Decision Tree,realworld_waist,axis,LIME,0.5416666666666666,0.545485335495606,9,22
Decision Tree,realworld_waist,axis,LIME,0.5595238095238095,0.5628179554650142,8,9
Decision Tree,realworld_waist,axis,LIME,0.5,0.5020422335600907,7,18
Decision Tree,realworld_waist,axis,LIME,0.5297619047619048,0.5338311688311688,6,20
Decision Tree,realworld_waist,axis,LIME,0.5416666666666666,0.5380227328879795,5,23
Decision Tree,realworld_waist,axis,LIME,0.4880952380952381,0.4834676614937927,4,19
Decision Tree,realworld_waist,axis,LIME,0.4107142857142857,0.3986780403107313,3,6
Decision Tree,realworld_waist,axis,LIME,0.4285714285714285,0.4281829013713071,2,3
Decision Tree,realworld_waist,axis,LIME,0.35119047619047616,0.34272077660741557,1,7
