Classifier,Dataset,Reduce,XAI,Accuracy,F1-Score,Dimension,Feature Removed
Decision Tree,realworld_waist,axis,Tree,0.6666666666666666,0.6669063600706039,24,1
Decision Tree,realworld_waist,axis,Tree,0.6785714285714286,0.6801916899618049,23,16
Decision Tree,realworld_waist,axis,Tree,0.6488095238095238,0.6510606793625662,22,21
Decision Tree,realworld_waist,axis,Tree,0.6309523809523809,0.629539320655743,21,10
Decision Tree,realworld_waist,axis,Tree,0.6190476190476191,0.6107927893801086,20,12
Decision Tree,realworld_waist,axis,Tree,0.625,0.6257768870251245,19,8
Decision Tree,realworld_waist,axis,Tree,0.6071428571428571,0.606319337245012,18,15
Decision Tree,realworld_waist,axis,Tree,0.6785714285714286,0.678122697623783,17,0
Decision Tree,realworld_waist,axis,Tree,0.6071428571428571,0.608903973888647,16,22
Decision Tree,realworld_waist,axis,Tree,0.5595238095238095,0.5653901962806334,15,2
Decision Tree,realworld_waist,axis,Tree,0.5714285714285714,0.5712437254103921,14,9
Decision Tree,realworld_waist,axis,Tree,0.5476190476190477,0.5472027972027972,13,11
Decision Tree,realworld_waist,axis,Tree,0.5535714285714286,0.5551374558801294,12,4
Decision Tree,realworld_waist,axis,Tree,0.5714285714285714,0.5735060690943043,11,14
Decision Tree,realworld_waist,axis,Tree,0.6011904761904762,0.6019288637567071,10,7
Decision Tree,realworld_waist,axis,Tree,0.6190476190476191,0.622566267886465,9,5
Decision Tree,realworld_waist,axis,Tree,0.6011904761904762,0.6022736660020085,8,17
Decision Tree,realworld_waist,axis,Tree,0.5833333333333334,0.5829998597376399,7,20
Decision Tree,realworld_waist,axis,Tree,0.5595238095238095,0.5672240942085365,6,18
Decision Tree,realworld_waist,axis,Tree,0.5535714285714286,0.5607487271638215,5,3
Decision Tree,realworld_waist,axis,Tree,0.5297619047619048,0.5305429966984635,4,13
Decision Tree,realworld_waist,axis,Tree,0.4761904761904761,0.4713200456950457,3,6
Decision Tree,realworld_waist,axis,Tree,0.4821428571428571,0.4666931535944064,2,19
Decision Tree,realworld_waist,axis,Tree,0.27976190476190477,0.2719211964337072,1,23
