Classifier,Dataset,Reduce,XAI,Accuracy,F1-Score,Dimension,Feature Removed
KNN,realworld_waist,axis,SHAP,0.7797619047619048,0.7713408480913557,24,8
KNN,realworld_waist,axis,SHAP,0.7738095238095238,0.7684803508369615,23,0
KNN,realworld_waist,axis,SHAP,0.7678571428571429,0.7602651745901935,22,1
KNN,realworld_waist,axis,SHAP,0.7916666666666666,0.785674202340869,21,12
KNN,realworld_waist,axis,SHAP,0.7559523809523809,0.7486837943378769,20,20
KNN,realworld_waist,axis,SHAP,0.7916666666666666,0.7882351446748493,19,21
KNN,realworld_waist,axis,SHAP,0.8035714285714286,0.7998081908828701,18,4
KNN,realworld_waist,axis,SHAP,0.8035714285714286,0.7961333087252725,17,16
KNN,realworld_waist,axis,SHAP,0.7797619047619048,0.7744299999201961,16,11
KNN,realworld_waist,axis,SHAP,0.7619047619047619,0.758016302869244,15,10
KNN,realworld_waist,axis,SHAP,0.7559523809523809,0.7502790788446525,14,6
KNN,realworld_waist,axis,SHAP,0.7321428571428571,0.7254300186518982,13,13
KNN,realworld_waist,axis,SHAP,0.7261904761904762,0.7181914381914383,12,15
KNN,realworld_waist,axis,SHAP,0.7261904761904762,0.7253294921805411,11,3
KNN,realworld_waist,axis,SHAP,0.7321428571428571,0.7251360153020507,10,22
KNN,realworld_waist,axis,SHAP,0.75,0.7440906948925415,9,9
KNN,realworld_waist,axis,SHAP,0.6904761904761905,0.6852680388394674,8,23
KNN,realworld_waist,axis,SHAP,0.7321428571428571,0.72217677522847,7,18
KNN,realworld_waist,axis,SHAP,0.7083333333333334,0.703266134761083,6,2
KNN,realworld_waist,axis,SHAP,0.6964285714285714,0.6917255255834763,5,7
KNN,realworld_waist,axis,SHAP,0.6666666666666666,0.6561331715265477,4,5
KNN,realworld_waist,axis,SHAP,0.5952380952380952,0.5855279240645094,3,17
KNN,realworld_waist,axis,SHAP,0.5892857142857143,0.5730898158858685,2,19
KNN,realworld_waist,axis,SHAP,0.3869047619047619,0.3939363869704427,1,14
