Classifier,Dataset,Reduce,XAI,Accuracy,F1-Score,Dimension,Feature Removed
Random Forest,realworld_waist,axis,ORACLE,0.7738095238095238,0.7724403033230822,24,16
Random Forest,realworld_waist,axis,ORACLE,0.7380952380952381,0.7367967442738327,23,14
Random Forest,realworld_waist,axis,ORACLE,0.7619047619047619,0.7612496583605074,22,12
Random Forest,realworld_waist,axis,ORACLE,0.7202380952380952,0.719826444850553,21,11
Random Forest,realworld_waist,axis,ORACLE,0.7202380952380952,0.7219674140247814,20,15
Random Forest,realworld_waist,axis,ORACLE,0.7142857142857143,0.7153163699246649,19,19
Random Forest,realworld_waist,axis,ORACLE,0.6845238095238095,0.6830958449421329,18,10
Random Forest,realworld_waist,axis,ORACLE,0.6845238095238095,0.684323162145618,17,9
Random Forest,realworld_waist,axis,ORACLE,0.6904761904761905,0.6866175909301333,16,8
Random Forest,realworld_waist,axis,ORACLE,0.7202380952380952,0.7197156881096483,15,13
Random Forest,realworld_waist,axis,ORACLE,0.6607142857142857,0.6608747944124632,14,4
Random Forest,realworld_waist,axis,ORACLE,0.6428571428571429,0.6442175940652444,13,2
Random Forest,realworld_waist,axis,ORACLE,0.6130952380952381,0.6075683271573682,12,1
Random Forest,realworld_waist,axis,ORACLE,0.6011904761904762,0.5970509368617208,11,18
Random Forest,realworld_waist,axis,ORACLE,0.5952380952380952,0.5927554325793073,10,17
Random Forest,realworld_waist,axis,ORACLE,0.5714285714285714,0.5727453978618575,9,6
Random Forest,realworld_waist,axis,ORACLE,0.5654761904761905,0.5668018841450737,8,5
Random Forest,realworld_waist,axis,ORACLE,0.5416666666666666,0.5434893019254764,7,3
Random Forest,realworld_waist,axis,ORACLE,0.5535714285714286,0.5587461973055193,6,20
Random Forest,realworld_waist,axis,ORACLE,0.5476190476190477,0.5528179103376581,5,0
Random Forest,realworld_waist,axis,ORACLE,0.5892857142857143,0.5930791333513263,4,22
Random Forest,realworld_waist,axis,ORACLE,0.4523809523809524,0.4404040568736668,3,23
Random Forest,realworld_waist,axis,ORACLE,0.5178571428571429,0.5032142764361609,2,7
Random Forest,realworld_waist,axis,ORACLE,0.375,0.36583297654726227,1,21
