Classifier,Dataset,Reduce,XAI,Accuracy,F1-Score,Dimension,Feature Removed
SVM,realworld_waist,axis,SHAP,0.7440476190476191,0.7379382095113716,24,1
SVM,realworld_waist,axis,SHAP,0.7380952380952381,0.7302392975027246,23,8
SVM,realworld_waist,axis,SHAP,0.7321428571428571,0.7242009847417227,22,0
SVM,realworld_waist,axis,SHAP,0.7261904761904762,0.716052753319834,21,12
SVM,realworld_waist,axis,SHAP,0.7023809523809523,0.6972087411245229,20,21
SVM,realworld_waist,axis,SHAP,0.75,0.7479176840033657,19,20
SVM,realworld_waist,axis,SHAP,0.7797619047619048,0.7787028637007066,18,4
SVM,realworld_waist,axis,SHAP,0.7738095238095238,0.7697724226256836,17,10
SVM,realworld_waist,axis,SHAP,0.7678571428571429,0.7630182561103614,16,11
SVM,realworld_waist,axis,SHAP,0.7321428571428571,0.7305991062222369,15,6
SVM,realworld_waist,axis,SHAP,0.7738095238095238,0.7694232582129535,14,13
SVM,realworld_waist,axis,SHAP,0.7440476190476191,0.7390889702857896,13,22
SVM,realworld_waist,axis,SHAP,0.75,0.7394807533751956,12,15
SVM,realworld_waist,axis,SHAP,0.7559523809523809,0.74738585640225,11,16
SVM,realworld_waist,axis,SHAP,0.7619047619047619,0.7564865779068001,10,23
SVM,realworld_waist,axis,SHAP,0.7261904761904762,0.7218151278219948,9,9
SVM,realworld_waist,axis,SHAP,0.6964285714285714,0.6968577220543343,8,19
SVM,realworld_waist,axis,SHAP,0.6904761904761905,0.690793995763716,7,18
SVM,realworld_waist,axis,SHAP,0.6607142857142857,0.6606624397791149,6,2
SVM,realworld_waist,axis,SHAP,0.6428571428571429,0.6460521451982553,5,3
SVM,realworld_waist,axis,SHAP,0.6011904761904762,0.5902500748727163,4,7
SVM,realworld_waist,axis,SHAP,0.5773809523809523,0.562326983254228,3,14
SVM,realworld_waist,axis,SHAP,0.4702380952380952,0.4736490665766981,2,5
SVM,realworld_waist,axis,SHAP,0.3333333333333333,0.29349977602174904,1,17
