Classifier,Dataset,Reduce,XAI,Accuracy,F1-Score,Dimension,Feature Removed
Decision Tree,realworld_waist,sensor,ORACLE,0.6011904761904762,0.6029813811201808,24,20
Decision Tree,realworld_waist,sensor,ORACLE,0.5476190476190477,0.5462598847176702,23,8
Decision Tree,realworld_waist,sensor,ORACLE,0.5535714285714286,0.5534168384334865,22,21
Decision Tree,realworld_waist,sensor,ORACLE,0.5654761904761905,0.5695339549046396,21,14
Decision Tree,realworld_waist,sensor,ORACLE,0.5773809523809523,0.5826294018543173,20,11
Decision Tree,realworld_waist,sensor,ORACLE,0.5535714285714286,0.5583440587655948,19,19
Decision Tree,realworld_waist,sensor,ORACLE,0.5119047619047619,0.5133798709924834,18,17
Decision Tree,realworld_waist,sensor,ORACLE,0.6071428571428571,0.6070447118241237,17,2
Decision Tree,realworld_waist,sensor,ORACLE,0.6071428571428571,0.6059373916708158,16,22
Decision Tree,realworld_waist,sensor,ORACLE,0.6190476190476191,0.614784282687096,15,18
Decision Tree,realworld_waist,sensor,ORACLE,0.5833333333333334,0.5833468136582051,14,0
Decision Tree,realworld_waist,sensor,ORACLE,0.6190476190476191,0.6118150270383221,13,9
Decision Tree,realworld_waist,sensor,ORACLE,0.5892857142857143,0.5859148892043629,12,3
Decision Tree,realworld_waist,sensor,ORACLE,0.5297619047619048,0.5291516824951475,11,23
Decision Tree,realworld_waist,sensor,ORACLE,0.5357142857142857,0.531967101395922,10,13
Decision Tree,realworld_waist,sensor,ORACLE,0.5833333333333334,0.5804021919038987,9,15
Decision Tree,realworld_waist,sensor,ORACLE,0.5654761904761905,0.5710125242993568,8,16
Decision Tree,realworld_waist,sensor,ORACLE,0.5773809523809523,0.5797841373015157,7,12
Decision Tree,realworld_waist,sensor,ORACLE,0.5654761904761905,0.5653035722158787,6,5
Decision Tree,realworld_waist,sensor,ORACLE,0.5714285714285714,0.5769244372626897,5,4
Decision Tree,realworld_waist,sensor,ORACLE,0.5654761904761905,0.5685798149418969,4,6
Decision Tree,realworld_waist,sensor,ORACLE,0.5952380952380952,0.5998803827751197,3,7
Decision Tree,realworld_waist,sensor,ORACLE,0.5416666666666666,0.5494813737009845,2,10
Decision Tree,realworld_waist,sensor,ORACLE,0.4107142857142857,0.41021447686530826,1,1
