Classifier,Dataset,Reduce,XAI,Accuracy,F1-Score,Dimension,Feature Removed
Decision Tree,realworld_waist,sensor,SHAP,0.6011904761904762,0.6029813811201808,24,16
Decision Tree,realworld_waist,sensor,SHAP,0.6190476190476191,0.6206274890997958,23,2
Decision Tree,realworld_waist,sensor,SHAP,0.6488095238095238,0.6517301916165783,22,3
Decision Tree,realworld_waist,sensor,SHAP,0.6369047619047619,0.6386539790709803,21,1
Decision Tree,realworld_waist,sensor,SHAP,0.5952380952380952,0.596348613773697,20,17
Decision Tree,realworld_waist,sensor,SHAP,0.6190476190476191,0.6193863741705538,19,23
Decision Tree,realworld_waist,sensor,SHAP,0.5833333333333334,0.5844999599797108,18,0
Decision Tree,realworld_waist,sensor,SHAP,0.6071428571428571,0.6116018877144295,17,13
Decision Tree,realworld_waist,sensor,SHAP,0.625,0.6304801657058339,16,18
Decision Tree,realworld_waist,sensor,SHAP,0.6607142857142857,0.6627124425155546,15,20
Decision Tree,realworld_waist,sensor,SHAP,0.6309523809523809,0.636710078345456,14,6
Decision Tree,realworld_waist,sensor,SHAP,0.5833333333333334,0.5903099478107211,13,22
Decision Tree,realworld_waist,sensor,SHAP,0.6726190476190477,0.6743921254514474,12,21
Decision Tree,realworld_waist,sensor,SHAP,0.6011904761904762,0.603466181628483,11,4
Decision Tree,realworld_waist,sensor,SHAP,0.5714285714285714,0.5723218795162173,10,8
Decision Tree,realworld_waist,sensor,SHAP,0.6190476190476191,0.6230684278042203,9,9
Decision Tree,realworld_waist,sensor,SHAP,0.5833333333333334,0.5815709487034201,8,14
Decision Tree,realworld_waist,sensor,SHAP,0.5714285714285714,0.5714564637134361,7,15
Decision Tree,realworld_waist,sensor,SHAP,0.6428571428571429,0.6470276439488262,6,19
Decision Tree,realworld_waist,sensor,SHAP,0.5833333333333334,0.5845362999543747,5,5
Decision Tree,realworld_waist,sensor,SHAP,0.5595238095238095,0.5614036990111365,4,12
Decision Tree,realworld_waist,sensor,SHAP,0.5476190476190477,0.5561048340669448,3,11
Decision Tree,realworld_waist,sensor,SHAP,0.5535714285714286,0.5549989704219619,2,10
Decision Tree,realworld_waist,sensor,SHAP,0.43452380952380953,0.4380243621679008,1,7
