Classifier,Dataset,Reduce,XAI,Accuracy,F1-Score,Dimension,Feature Removed
Decision Tree,uci,all,LIME,0.65,0.6514807477519342,24,3
Decision Tree,uci,all,LIME,0.6285714285714286,0.6301149425287357,23,16
Decision Tree,uci,all,LIME,0.6785714285714286,0.6779171111374502,22,12
Decision Tree,uci,all,LIME,0.6785714285714286,0.6780042781211689,21,11
Decision Tree,uci,all,LIME,0.6142857142857143,0.6090217864168871,20,2
Decision Tree,uci,all,LIME,0.6285714285714286,0.6281552807040787,19,4
Decision Tree,uci,all,LIME,0.6571428571428571,0.657308926911365,18,15
Decision Tree,uci,all,LIME,0.6857142857142857,0.6856645620899631,17,22
Decision Tree,uci,all,LIME,0.6785714285714286,0.6772691881852924,16,8
Decision Tree,uci,all,LIME,0.6714285714285714,0.6728167495070362,15,19
Decision Tree,uci,all,LIME,0.7,0.6973601065517403,14,17
Decision Tree,uci,all,LIME,0.6285714285714286,0.6282247765006386,13,13
Decision Tree,uci,all,LIME,0.6785714285714286,0.6767715043577113,12,7
Decision Tree,uci,all,LIME,0.5928571428571429,0.592237411711096,11,14
Decision Tree,uci,all,LIME,0.6571428571428571,0.6540280000662724,10,9
Decision Tree,uci,all,LIME,0.6428571428571429,0.6426155510583998,9,6
Decision Tree,uci,all,LIME,0.65,0.6494675311916691,8,1
Decision Tree,uci,all,LIME,0.6642857142857143,0.6631970985672575,7,21
Decision Tree,uci,all,LIME,0.6857142857142857,0.6824268934342289,6,18
Decision Tree,uci,all,LIME,0.6214285714285714,0.6213895938033869,5,10
Decision Tree,uci,all,LIME,0.5642857142857143,0.5649302081900147,4,0
Decision Tree,uci,all,LIME,0.5071428571428571,0.5053612147078572,3,20
Decision Tree,uci,all,LIME,0.4928571428571429,0.4886414481097944,2,5
Decision Tree,uci,all,LIME,0.2857142857142857,0.2829986744124319,1,23
