Classifier,Dataset,Reduce,XAI,Accuracy,F1-Score,Dimension,Feature Removed
KNN,uci,all,ORACLE,0.7142857142857143,0.7127781077253416,24,2
KNN,uci,all,ORACLE,0.6785714285714286,0.6749965582180661,23,12
KNN,uci,all,ORACLE,0.6785714285714286,0.6749965582180661,22,5
KNN,uci,all,ORACLE,0.6928571428571428,0.6891791233569817,21,0
KNN,uci,all,ORACLE,0.7142857142857143,0.7103183176790926,20,19
KNN,uci,all,ORACLE,0.7071428571428572,0.7039289176054818,19,17
KNN,uci,all,ORACLE,0.7,0.6966195260492664,18,8
KNN,uci,all,ORACLE,0.6857142857142857,0.6839097744360901,17,9
KNN,uci,all,ORACLE,0.6857142857142857,0.6839097744360901,16,22
KNN,uci,all,ORACLE,0.6714285714285714,0.6694398894927979,15,13
KNN,uci,all,ORACLE,0.6785714285714286,0.6762387167997922,14,14
KNN,uci,all,ORACLE,0.6857142857142857,0.6835481083560077,13,15
KNN,uci,all,ORACLE,0.6928571428571428,0.690610472541507,12,21
KNN,uci,all,ORACLE,0.6928571428571428,0.6893138921910735,11,20
KNN,uci,all,ORACLE,0.7071428571428572,0.7045962209066581,10,18
KNN,uci,all,ORACLE,0.7,0.6964966013978375,9,16
KNN,uci,all,ORACLE,0.7,0.6954761904761904,8,11
KNN,uci,all,ORACLE,0.7,0.6949674476724511,7,7
KNN,uci,all,ORACLE,0.6928571428571428,0.6888947326638353,6,3
KNN,uci,all,ORACLE,0.6857142857142857,0.6809897828863346,5,1
KNN,uci,all,ORACLE,0.6857142857142857,0.6828182298012132,4,10
KNN,uci,all,ORACLE,0.5928571428571429,0.5914906477170628,3,4
KNN,uci,all,ORACLE,0.55,0.5504143755246073,2,23
KNN,uci,all,ORACLE,0.42857142857142855,0.4206810477657935,1,6
