Classifier,Dataset,Reduce,XAI,Accuracy,F1-Score,Dimension,Feature Removed
Random Forest,uci,all,Random Forest,0.7214285714285714,0.7220375477181286,24,3
Random Forest,uci,all,Random Forest,0.7142857142857143,0.7147961713725505,23,0
Random Forest,uci,all,Random Forest,0.7071428571428572,0.7072259192041406,22,15
Random Forest,uci,all,Random Forest,0.7428571428571429,0.7434040896356412,21,1
Random Forest,uci,all,Random Forest,0.7142857142857143,0.7150333543683541,20,8
Random Forest,uci,all,Random Forest,0.6857142857142857,0.6862167206994794,19,16
Random Forest,uci,all,Random Forest,0.6928571428571428,0.6934367638984822,18,19
Random Forest,uci,all,Random Forest,0.6857142857142857,0.686411238825032,17,17
Random Forest,uci,all,Random Forest,0.6571428571428571,0.6572105741418854,16,2
Random Forest,uci,all,Random Forest,0.6428571428571429,0.6432458984183123,15,10
Random Forest,uci,all,Random Forest,0.6714285714285714,0.6714801958083789,14,20
Random Forest,uci,all,Random Forest,0.6928571428571428,0.6934595229332071,13,4
Random Forest,uci,all,Random Forest,0.6928571428571428,0.693169129720854,12,14
Random Forest,uci,all,Random Forest,0.6928571428571428,0.692875504268693,11,11
Random Forest,uci,all,Random Forest,0.6785714285714286,0.6787335386672713,10,7
Random Forest,uci,all,Random Forest,0.6857142857142857,0.6863181005670907,9,5
Random Forest,uci,all,Random Forest,0.7071428571428572,0.7070431984754246,8,22
Random Forest,uci,all,Random Forest,0.6857142857142857,0.685788401099251,7,13
Random Forest,uci,all,Random Forest,0.6857142857142857,0.6853416961014623,6,18
Random Forest,uci,all,Random Forest,0.7,0.6997244068024466,5,12
Random Forest,uci,all,Random Forest,0.6785714285714286,0.6778920481279828,4,23
Random Forest,uci,all,Random Forest,0.6357142857142857,0.6346743651828397,3,6
Random Forest,uci,all,Random Forest,0.4714285714285714,0.4700559976422045,2,21
Random Forest,uci,all,Random Forest,0.32857142857142857,0.326041366041366,1,9
