Classifier,Dataset,Reduce,XAI,Accuracy,F1-Score,Dimension,Feature Removed
SVM,uci,all,LIME,0.5785714285714286,0.5527484873288715,24,0
SVM,uci,all,LIME,0.5642857142857143,0.5553095238095238,23,4
SVM,uci,all,LIME,0.4642857142857143,0.4413705969595847,22,1
SVM,uci,all,LIME,0.4714285714285714,0.4437652329749104,21,2
SVM,uci,all,LIME,0.4714285714285714,0.3808395638629284,20,8
SVM,uci,all,LIME,0.4642857142857143,0.4243506860371268,19,3
SVM,uci,all,LIME,0.4857142857142857,0.4548910737958461,18,6
SVM,uci,all,LIME,0.4428571428571428,0.36536743143005,17,15
SVM,uci,all,LIME,0.5,0.4337716534460177,16,9
SVM,uci,all,LIME,0.5,0.4384123460867103,15,18
SVM,uci,all,LIME,0.45,0.3767037095695632,14,20
SVM,uci,all,LIME,0.4714285714285714,0.4247405651392856,13,5
SVM,uci,all,LIME,0.5071428571428571,0.4535257614320463,12,11
SVM,uci,all,LIME,0.4214285714285714,0.3331353607632678,11,10
SVM,uci,all,LIME,0.45,0.3685076572173346,10,16
SVM,uci,all,LIME,0.5,0.4466269766269766,9,14
SVM,uci,all,LIME,0.4857142857142857,0.3994390364626299,8,7
SVM,uci,all,LIME,0.4714285714285714,0.4390706178154137,7,21
SVM,uci,all,LIME,0.4928571428571429,0.4575158491947231,6,19
SVM,uci,all,LIME,0.4857142857142857,0.4288001204789944,5,13
SVM,uci,all,LIME,0.4857142857142857,0.4393275033590672,4,23
SVM,uci,all,LIME,0.55,0.5170117790494169,3,17
SVM,uci,all,LIME,0.4857142857142857,0.4462773775787135,2,12
SVM,uci,all,LIME,0.37857142857142856,0.3622185933938679,1,22
