Classifier,Dataset,Reduce,XAI,Accuracy,F1-Score,Dimension,Feature Removed
Decision Tree,uci,axis,LIME,0.7642857142857142,0.7621611721611722,24,0
Decision Tree,uci,axis,LIME,0.8,0.799341360393992,23,8
Decision Tree,uci,axis,LIME,0.7642857142857142,0.7630890390212424,22,18
Decision Tree,uci,axis,LIME,0.7928571428571428,0.7925682698797836,21,22
Decision Tree,uci,axis,LIME,0.7714285714285715,0.7694653989086241,20,12
Decision Tree,uci,axis,LIME,0.75,0.7494975200238357,19,10
Decision Tree,uci,axis,LIME,0.7571428571428571,0.7562795878585352,18,1
Decision Tree,uci,axis,LIME,0.7142857142857143,0.7145516505787712,17,19
Decision Tree,uci,axis,LIME,0.6928571428571428,0.6952671420589096,16,5
Decision Tree,uci,axis,LIME,0.7357142857142858,0.7345315483314314,15,13
Decision Tree,uci,axis,LIME,0.7142857142857143,0.7147819843287538,14,7
Decision Tree,uci,axis,LIME,0.7214285714285714,0.7205254515599343,13,15
Decision Tree,uci,axis,LIME,0.6428571428571429,0.6414637604111288,12,9
Decision Tree,uci,axis,LIME,0.6714285714285714,0.6707812722331778,11,21
Decision Tree,uci,axis,LIME,0.6428571428571429,0.6375993468304693,10,4
Decision Tree,uci,axis,LIME,0.6071428571428571,0.6062861699703805,9,20
Decision Tree,uci,axis,LIME,0.6571428571428571,0.6560183441325791,8,2
Decision Tree,uci,axis,LIME,0.6357142857142857,0.633897435513795,7,16
Decision Tree,uci,axis,LIME,0.6142857142857143,0.6130565267225885,6,6
Decision Tree,uci,axis,LIME,0.6714285714285714,0.6639262908228425,5,14
Decision Tree,uci,axis,LIME,0.5714285714285714,0.5675796153058705,4,11
Decision Tree,uci,axis,LIME,0.5785714285714286,0.5796820420958351,3,17
Decision Tree,uci,axis,LIME,0.4642857142857143,0.4633399005535228,2,23
Decision Tree,uci,axis,LIME,0.35,0.3495306447938027,1,3
