Classifier,Dataset,Reduce,XAI,Accuracy,F1-Score,Dimension,Feature Removed
Decision Tree,uci,axis,ORACLE,0.7642857142857142,0.7621611721611722,24,11
Decision Tree,uci,axis,ORACLE,0.7428571428571429,0.7382232893459036,23,17
Decision Tree,uci,axis,ORACLE,0.7928571428571428,0.7915551190095482,22,16
Decision Tree,uci,axis,ORACLE,0.7785714285714286,0.7771749989508706,21,1
Decision Tree,uci,axis,ORACLE,0.75,0.7512953840540048,20,15
Decision Tree,uci,axis,ORACLE,0.7428571428571429,0.7424803038596142,19,8
Decision Tree,uci,axis,ORACLE,0.7928571428571428,0.7925671111013999,18,10
Decision Tree,uci,axis,ORACLE,0.7357142857142858,0.7344358388739447,17,21
Decision Tree,uci,axis,ORACLE,0.7071428571428572,0.7026795682843181,16,18
Decision Tree,uci,axis,ORACLE,0.7214285714285714,0.717687074829932,15,14
Decision Tree,uci,axis,ORACLE,0.7214285714285714,0.718185676392573,14,13
Decision Tree,uci,axis,ORACLE,0.7785714285714286,0.7771814319597571,13,23
Decision Tree,uci,axis,ORACLE,0.6928571428571428,0.6926012939806043,12,9
Decision Tree,uci,axis,ORACLE,0.7214285714285714,0.7212317242505923,11,7
Decision Tree,uci,axis,ORACLE,0.6857142857142857,0.6867608688207271,10,12
Decision Tree,uci,axis,ORACLE,0.6642857142857143,0.6625353612948206,9,6
Decision Tree,uci,axis,ORACLE,0.6357142857142857,0.6355977345836759,8,4
Decision Tree,uci,axis,ORACLE,0.6642857142857143,0.6634996783383881,7,3
Decision Tree,uci,axis,ORACLE,0.6428571428571429,0.6392210114906687,6,19
Decision Tree,uci,axis,ORACLE,0.6071428571428571,0.6042870255362123,5,2
Decision Tree,uci,axis,ORACLE,0.5785714285714286,0.5709179598040673,4,5
Decision Tree,uci,axis,ORACLE,0.5357142857142857,0.5331965148603519,3,20
Decision Tree,uci,axis,ORACLE,0.6214285714285714,0.6198067506264228,2,22
Decision Tree,uci,axis,ORACLE,0.5357142857142857,0.5370993874270935,1,0
