Classifier,Dataset,Reduce,XAI,Accuracy,F1-Score,Dimension,Feature Removed
KNN,uci,axis,SHAP,0.7928571428571428,0.7920154397573753,24,12
KNN,uci,axis,SHAP,0.7357142857142858,0.7348869571958795,23,0
KNN,uci,axis,SHAP,0.7357142857142858,0.7354669788688515,22,8
KNN,uci,axis,SHAP,0.7571428571428571,0.7563603095714957,21,1
KNN,uci,axis,SHAP,0.7142857142857143,0.7098848311254325,20,20
KNN,uci,axis,SHAP,0.7357142857142858,0.7324498159919706,19,21
KNN,uci,axis,SHAP,0.7214285714285714,0.7174281494139988,18,15
KNN,uci,axis,SHAP,0.6785714285714286,0.6723337219636984,17,16
KNN,uci,axis,SHAP,0.75,0.7433265216171816,16,13
KNN,uci,axis,SHAP,0.6928571428571428,0.6912387612387613,15,4
KNN,uci,axis,SHAP,0.6857142857142857,0.683896840394442,14,22
KNN,uci,axis,SHAP,0.6785714285714286,0.6739396102206408,13,6
KNN,uci,axis,SHAP,0.6571428571428571,0.6552585593187098,12,19
KNN,uci,axis,SHAP,0.6714285714285714,0.6690471885621048,11,11
KNN,uci,axis,SHAP,0.6857142857142857,0.6836043996142518,10,23
KNN,uci,axis,SHAP,0.6285714285714286,0.6238898807092876,9,10
KNN,uci,axis,SHAP,0.6285714285714286,0.6230615968286756,8,3
KNN,uci,axis,SHAP,0.6142857142857143,0.5879731971985158,7,7
KNN,uci,axis,SHAP,0.5285714285714286,0.5273233687653832,6,18
KNN,uci,axis,SHAP,0.55,0.5423426097711812,5,9
KNN,uci,axis,SHAP,0.5785714285714286,0.5744354082030261,4,2
KNN,uci,axis,SHAP,0.5142857142857142,0.5001313026001705,3,5
KNN,uci,axis,SHAP,0.3785714285714285,0.3758254981499533,2,14
KNN,uci,axis,SHAP,0.37857142857142856,0.36726975159178543,1,17
