Classifier,Dataset,Reduce,XAI,Accuracy,F1-Score,Dimension,Feature Removed
Random Forest,uci,axis,LIME,0.9214285714285714,0.92105999263894,24,0
Random Forest,uci,axis,LIME,0.8928571428571429,0.8927590833579945,23,1
Random Forest,uci,axis,LIME,0.8785714285714286,0.8786440371941862,22,4
Random Forest,uci,axis,LIME,0.8857142857142857,0.8855909885479172,21,6
Random Forest,uci,axis,LIME,0.8714285714285714,0.8710705585597734,20,12
Random Forest,uci,axis,LIME,0.8857142857142857,0.8852898895407219,19,22
Random Forest,uci,axis,LIME,0.8357142857142857,0.8346291487465469,18,20
Random Forest,uci,axis,LIME,0.8928571428571429,0.8928946881057123,17,2
Random Forest,uci,axis,LIME,0.8428571428571429,0.842878470690794,16,8
Random Forest,uci,axis,LIME,0.8357142857142857,0.8346412124398033,15,19
Random Forest,uci,axis,LIME,0.8285714285714286,0.8277505908984987,14,13
Random Forest,uci,axis,LIME,0.8071428571428572,0.8065677013045434,13,5
Random Forest,uci,axis,LIME,0.8285714285714286,0.828140781361341,12,18
Random Forest,uci,axis,LIME,0.7857142857142857,0.7856757037724957,11,7
Random Forest,uci,axis,LIME,0.7928571428571428,0.7912893927196938,10,15
Random Forest,uci,axis,LIME,0.75,0.7454782817744624,9,23
Random Forest,uci,axis,LIME,0.6714285714285714,0.666558226326636,8,21
Random Forest,uci,axis,LIME,0.6785714285714286,0.677287721581116,7,16
Random Forest,uci,axis,LIME,0.6357142857142857,0.6343193377680779,6,10
Random Forest,uci,axis,LIME,0.6,0.5991273054430949,5,11
Random Forest,uci,axis,LIME,0.5285714285714286,0.5237093658849002,4,9
Random Forest,uci,axis,LIME,0.4142857142857143,0.4116580275070841,3,17
Random Forest,uci,axis,LIME,0.3857142857142857,0.3847252747252747,2,14
Random Forest,uci,axis,LIME,0.35,0.3495306447938027,1,3
