Classifier,Dataset,Reduce,XAI,Accuracy,F1-Score,Dimension,Feature Removed
Random Forest,uci,axis,ORACLE,0.9214285714285714,0.92105999263894,24,1
Random Forest,uci,axis,ORACLE,0.8785714285714286,0.8786256430324226,23,20
Random Forest,uci,axis,ORACLE,0.8571428571428571,0.8571265025006077,22,0
Random Forest,uci,axis,ORACLE,0.8857142857142857,0.8857344207636985,21,15
Random Forest,uci,axis,ORACLE,0.8285714285714286,0.8258429118773947,20,7
Random Forest,uci,axis,ORACLE,0.8428571428571429,0.8412109644309957,19,11
Random Forest,uci,axis,ORACLE,0.8428571428571429,0.8409334077588945,18,14
Random Forest,uci,axis,ORACLE,0.8571428571428571,0.8555271621034333,17,2
Random Forest,uci,axis,ORACLE,0.8357142857142857,0.834259946949602,16,19
Random Forest,uci,axis,ORACLE,0.8428571428571429,0.8417448033258713,15,5
Random Forest,uci,axis,ORACLE,0.8642857142857143,0.8635429214417039,14,12
Random Forest,uci,axis,ORACLE,0.7714285714285715,0.7674011729180276,13,23
Random Forest,uci,axis,ORACLE,0.7785714285714286,0.7757244506998202,12,10
Random Forest,uci,axis,ORACLE,0.7714285714285715,0.7664466675460442,11,3
Random Forest,uci,axis,ORACLE,0.7714285714285715,0.7692384759608452,10,18
Random Forest,uci,axis,ORACLE,0.7785714285714286,0.7758658836408843,9,8
Random Forest,uci,axis,ORACLE,0.7785714285714286,0.775498182248519,8,22
Random Forest,uci,axis,ORACLE,0.6928571428571428,0.6869211901832526,7,6
Random Forest,uci,axis,ORACLE,0.7071428571428572,0.7033148604269295,6,9
Random Forest,uci,axis,ORACLE,0.6714285714285714,0.6696206967635538,5,16
Random Forest,uci,axis,ORACLE,0.6785714285714286,0.674191446786728,4,17
Random Forest,uci,axis,ORACLE,0.6357142857142857,0.6309492387024147,3,21
Random Forest,uci,axis,ORACLE,0.5285714285714286,0.5181975081697227,2,13
Random Forest,uci,axis,ORACLE,0.4357142857142857,0.43135618131473297,1,4
