Classifier,Dataset,Reduce,XAI,Accuracy,F1-Score,Dimension,Feature Removed
SVM,uci,axis,ORACLE,0.8,0.7928444621494808,24,12
SVM,uci,axis,ORACLE,0.7714285714285715,0.762099694338877,23,1
SVM,uci,axis,ORACLE,0.75,0.73425190739495,22,0
SVM,uci,axis,ORACLE,0.7428571428571429,0.7230291053443584,21,2
SVM,uci,axis,ORACLE,0.7142857142857143,0.6949899266394677,20,16
SVM,uci,axis,ORACLE,0.75,0.7365096188095136,19,18
SVM,uci,axis,ORACLE,0.7428571428571429,0.7302405698843252,18,7
SVM,uci,axis,ORACLE,0.7428571428571429,0.7329008269473576,17,23
SVM,uci,axis,ORACLE,0.7428571428571429,0.7329008269473576,16,22
SVM,uci,axis,ORACLE,0.7428571428571429,0.7329008269473576,15,5
SVM,uci,axis,ORACLE,0.7428571428571429,0.7329008269473576,14,14
SVM,uci,axis,ORACLE,0.7357142857142858,0.726252251642066,13,8
SVM,uci,axis,ORACLE,0.7428571428571429,0.7329008269473576,12,9
SVM,uci,axis,ORACLE,0.7285714285714285,0.7178397686027171,11,10
SVM,uci,axis,ORACLE,0.7357142857142858,0.7258794755704028,10,13
SVM,uci,axis,ORACLE,0.6928571428571428,0.6850493532325767,9,4
SVM,uci,axis,ORACLE,0.7071428571428572,0.7014742389570764,8,17
SVM,uci,axis,ORACLE,0.7071428571428572,0.7020779220779221,7,3
SVM,uci,axis,ORACLE,0.7071428571428572,0.6986859462201928,6,6
SVM,uci,axis,ORACLE,0.7285714285714285,0.7250092226304561,5,11
SVM,uci,axis,ORACLE,0.7142857142857143,0.7113448835797292,4,15
SVM,uci,axis,ORACLE,0.6214285714285714,0.6130361044627242,3,19
SVM,uci,axis,ORACLE,0.6428571428571429,0.6367661267405513,2,20
SVM,uci,axis,ORACLE,0.5571428571428572,0.5562448328772548,1,21
