Classifier,Dataset,Reduce,XAI,Accuracy,F1-Score,Dimension,Feature Removed
SVM,uci,sensor,LIME,0.6857142857142857,0.6613662119544472,24,0
SVM,uci,sensor,LIME,0.6642857142857143,0.6350703987289352,23,12
SVM,uci,sensor,LIME,0.6857142857142857,0.6591858467880454,22,19
SVM,uci,sensor,LIME,0.6928571428571428,0.6728363532558173,21,1
SVM,uci,sensor,LIME,0.7,0.6809364395974467,20,21
SVM,uci,sensor,LIME,0.6714285714285714,0.6516523860656396,19,14
SVM,uci,sensor,LIME,0.7,0.6782350266221233,18,13
SVM,uci,sensor,LIME,0.6142857142857143,0.574434325249744,17,16
SVM,uci,sensor,LIME,0.6,0.5604102721884389,16,7
SVM,uci,sensor,LIME,0.5857142857142857,0.5278875803606986,15,3
SVM,uci,sensor,LIME,0.5642857142857143,0.5048648060335765,14,4
SVM,uci,sensor,LIME,0.5857142857142857,0.5306465633330651,13,23
SVM,uci,sensor,LIME,0.6142857142857143,0.5803987592134096,12,15
SVM,uci,sensor,LIME,0.5642857142857143,0.5618196863416594,11,2
SVM,uci,sensor,LIME,0.5428571428571428,0.5053282444505849,10,18
SVM,uci,sensor,LIME,0.6214285714285714,0.6025738217101837,9,22
SVM,uci,sensor,LIME,0.5071428571428571,0.4452203710268226,8,11
SVM,uci,sensor,LIME,0.5,0.4588862509267868,7,5
SVM,uci,sensor,LIME,0.4857142857142857,0.4366792929292929,6,20
SVM,uci,sensor,LIME,0.5642857142857143,0.5377137626577149,5,6
SVM,uci,sensor,LIME,0.6142857142857143,0.5921744454047825,4,17
SVM,uci,sensor,LIME,0.6357142857142857,0.6309147431623482,3,9
SVM,uci,sensor,LIME,0.5285714285714286,0.5165958747135218,2,10
SVM,uci,sensor,LIME,0.4857142857142857,0.4681517459000911,1,8
