Classifier,Dataset,Reduce,XAI,Accuracy,F1-Score,Dimension,Feature Removed
KNN,wisdm,all,LIME,0.8071428571428572,0.8058615364604476,24,0
KNN,wisdm,all,LIME,0.8,0.7987558527844324,23,1
KNN,wisdm,all,LIME,0.8071428571428572,0.8059498746867166,22,2
KNN,wisdm,all,LIME,0.7928571428571428,0.7908314768457702,21,4
KNN,wisdm,all,LIME,0.7857142857142857,0.7853444104914693,20,3
KNN,wisdm,all,LIME,0.7857142857142857,0.7853444104914693,19,6
KNN,wisdm,all,LIME,0.7857142857142857,0.7853444104914693,18,7
KNN,wisdm,all,LIME,0.8142857142857143,0.8141656908687693,17,10
KNN,wisdm,all,LIME,0.8214285714285714,0.820594495039509,16,8
KNN,wisdm,all,LIME,0.8,0.7990974167444755,15,5
KNN,wisdm,all,LIME,0.8071428571428572,0.806998926998927,14,20
KNN,wisdm,all,LIME,0.8,0.7998946750417338,13,23
KNN,wisdm,all,LIME,0.7857142857142857,0.7865715303215304,12,15
KNN,wisdm,all,LIME,0.8,0.8000168511184945,11,19
KNN,wisdm,all,LIME,0.8071428571428572,0.8071836149883367,10,14
KNN,wisdm,all,LIME,0.8142857142857143,0.8145671156687591,9,22
KNN,wisdm,all,LIME,0.8428571428571429,0.8419854721549637,8,16
KNN,wisdm,all,LIME,0.8357142857142857,0.8350070717101501,7,9
KNN,wisdm,all,LIME,0.8285714285714286,0.8275315489108592,6,11
KNN,wisdm,all,LIME,0.8285714285714286,0.8268117730974172,5,21
KNN,wisdm,all,LIME,0.7928571428571428,0.7924463169847122,4,12
KNN,wisdm,all,LIME,0.7571428571428571,0.757468671679198,3,13
KNN,wisdm,all,LIME,0.7071428571428572,0.7064690026954177,2,18
KNN,wisdm,all,LIME,0.44285714285714284,0.4164020556775391,1,17
