Classifier,Dataset,Reduce,XAI,Accuracy,F1-Score,Dimension,Feature Removed
KNN,wisdm,all,ORACLE,0.8071428571428572,0.8058615364604476,24,1
KNN,wisdm,all,ORACLE,0.7857142857142857,0.7851797845302331,23,0
KNN,wisdm,all,ORACLE,0.8071428571428572,0.8059498746867166,22,3
KNN,wisdm,all,ORACLE,0.7857142857142857,0.784261993799595,21,7
KNN,wisdm,all,ORACLE,0.8,0.7987067462304737,20,8
KNN,wisdm,all,ORACLE,0.7714285714285715,0.7703120580181155,19,10
KNN,wisdm,all,ORACLE,0.7857142857142857,0.7851322751322751,18,22
KNN,wisdm,all,ORACLE,0.7785714285714286,0.7777198762104423,17,12
KNN,wisdm,all,ORACLE,0.7714285714285715,0.7705820105820106,16,21
KNN,wisdm,all,ORACLE,0.7857142857142857,0.7851322751322751,15,20
KNN,wisdm,all,ORACLE,0.7785714285714286,0.7777198762104423,14,19
KNN,wisdm,all,ORACLE,0.7785714285714286,0.7771941414519231,13,18
KNN,wisdm,all,ORACLE,0.7857142857142857,0.7846938099966898,12,17
KNN,wisdm,all,ORACLE,0.8,0.7996825396825397,11,16
KNN,wisdm,all,ORACLE,0.7928571428571428,0.7925170999747272,10,15
KNN,wisdm,all,ORACLE,0.7785714285714286,0.7788566272437241,9,11
KNN,wisdm,all,ORACLE,0.7928571428571428,0.7934020817891787,8,13
KNN,wisdm,all,ORACLE,0.7857142857142857,0.7868776628119294,7,9
KNN,wisdm,all,ORACLE,0.7714285714285715,0.7725066433263155,6,6
KNN,wisdm,all,ORACLE,0.7857142857142857,0.7867332193705645,5,5
KNN,wisdm,all,ORACLE,0.7642857142857142,0.7650161909504576,4,14
KNN,wisdm,all,ORACLE,0.75,0.7503876792463244,3,23
KNN,wisdm,all,ORACLE,0.7285714285714285,0.7292925710502671,2,4
KNN,wisdm,all,ORACLE,0.5714285714285714,0.5716107652904912,1,2
