Classifier,Dataset,Reduce,XAI,Accuracy,F1-Score,Dimension,Feature Removed
Random Forest,wisdm,all,ORACLE,0.8428571428571429,0.8417865451265254,24,19
Random Forest,wisdm,all,ORACLE,0.8142857142857143,0.8129714032505657,23,5
Random Forest,wisdm,all,ORACLE,0.8357142857142857,0.8351592087104789,22,12
Random Forest,wisdm,all,ORACLE,0.8357142857142857,0.8345589540901106,21,1
Random Forest,wisdm,all,ORACLE,0.8214285714285714,0.820594495039509,20,21
Random Forest,wisdm,all,ORACLE,0.8285714285714286,0.8272628647573252,19,7
Random Forest,wisdm,all,ORACLE,0.8285714285714286,0.8277078316566637,18,9
Random Forest,wisdm,all,ORACLE,0.8214285714285714,0.820594495039509,17,10
Random Forest,wisdm,all,ORACLE,0.8142857142857143,0.8124965142384498,16,16
Random Forest,wisdm,all,ORACLE,0.8214285714285714,0.8205203743743297,15,13
Random Forest,wisdm,all,ORACLE,0.8357142857142857,0.8348118358810893,14,14
Random Forest,wisdm,all,ORACLE,0.8142857142857143,0.8129714032505657,13,15
Random Forest,wisdm,all,ORACLE,0.8214285714285714,0.8201588605328997,12,11
Random Forest,wisdm,all,ORACLE,0.8214285714285714,0.8205203743743297,11,20
Random Forest,wisdm,all,ORACLE,0.8357142857142857,0.8351592087104789,10,18
Random Forest,wisdm,all,ORACLE,0.8214285714285714,0.8207072890205882,9,17
Random Forest,wisdm,all,ORACLE,0.8285714285714286,0.8275942015224169,8,23
Random Forest,wisdm,all,ORACLE,0.8214285714285714,0.8206377382092175,7,8
Random Forest,wisdm,all,ORACLE,0.8,0.7988423240862051,6,6
Random Forest,wisdm,all,ORACLE,0.8357142857142857,0.8349365039958385,5,4
Random Forest,wisdm,all,ORACLE,0.8071428571428572,0.8070315398886828,4,22
Random Forest,wisdm,all,ORACLE,0.7857142857142857,0.784396267525578,3,2
Random Forest,wisdm,all,ORACLE,0.75,0.7449166084090683,2,3
Random Forest,wisdm,all,ORACLE,0.6428571428571429,0.6412826072048405,1,0
