Classifier,Dataset,Reduce,XAI,Accuracy,F1-Score,Dimension,Feature Removed
SVM,wisdm,all,LIME,0.8,0.7994274470242692,24,0
SVM,wisdm,all,LIME,0.7785714285714286,0.7780869040350972,23,1
SVM,wisdm,all,LIME,0.7071428571428572,0.711978835978836,22,2
SVM,wisdm,all,LIME,0.7285714285714285,0.7310108872608873,21,4
SVM,wisdm,all,LIME,0.6928571428571428,0.6921001702191449,20,8
SVM,wisdm,all,LIME,0.6785714285714286,0.6809618385586609,19,10
SVM,wisdm,all,LIME,0.6714285714285714,0.6743131413439258,18,3
SVM,wisdm,all,LIME,0.6642857142857143,0.6671608265947888,17,22
SVM,wisdm,all,LIME,0.6714285714285714,0.6743131413439258,16,19
SVM,wisdm,all,LIME,0.6571428571428571,0.6591031956549197,15,15
SVM,wisdm,all,LIME,0.6642857142857143,0.6666028641996864,14,5
SVM,wisdm,all,LIME,0.6785714285714286,0.6816116985026384,13,7
SVM,wisdm,all,LIME,0.6785714285714286,0.6817039261925695,12,14
SVM,wisdm,all,LIME,0.6714285714285714,0.6751758239663541,11,18
SVM,wisdm,all,LIME,0.6857142857142857,0.6858170148621776,10,20
SVM,wisdm,all,LIME,0.6642857142857143,0.6676538089336129,9,6
SVM,wisdm,all,LIME,0.6285714285714286,0.630388335835359,8,11
SVM,wisdm,all,LIME,0.5928571428571429,0.5936767616837549,7,16
SVM,wisdm,all,LIME,0.6428571428571429,0.638311767394705,6,23
SVM,wisdm,all,LIME,0.5785714285714286,0.541729221539362,5,13
SVM,wisdm,all,LIME,0.55,0.5124418463037388,4,12
SVM,wisdm,all,LIME,0.5428571428571428,0.5058903142367787,3,17
SVM,wisdm,all,LIME,0.5071428571428571,0.5067668106790739,2,21
SVM,wisdm,all,LIME,0.35714285714285715,0.33216181643748,1,9
