Classifier,Dataset,Reduce,XAI,Accuracy,F1-Score,Dimension,Feature Removed
SVM,wisdm,all,ORACLE,0.8,0.7994274470242692,24,1
SVM,wisdm,all,ORACLE,0.75,0.7523476084863262,23,2
SVM,wisdm,all,ORACLE,0.75,0.7523095712857037,22,0
SVM,wisdm,all,ORACLE,0.7285714285714285,0.7310108872608873,21,21
SVM,wisdm,all,ORACLE,0.7285714285714285,0.7310108872608873,20,20
SVM,wisdm,all,ORACLE,0.7428571428571429,0.7447639013676751,19,19
SVM,wisdm,all,ORACLE,0.7428571428571429,0.7447639013676751,18,18
SVM,wisdm,all,ORACLE,0.75,0.7519017669961066,17,17
SVM,wisdm,all,ORACLE,0.75,0.7517855501726469,16,16
SVM,wisdm,all,ORACLE,0.7571428571428571,0.7589966288079495,15,15
SVM,wisdm,all,ORACLE,0.7571428571428571,0.7597037037037037,14,14
SVM,wisdm,all,ORACLE,0.75,0.7523828763828764,13,13
SVM,wisdm,all,ORACLE,0.7571428571428571,0.7597037037037037,12,11
SVM,wisdm,all,ORACLE,0.7428571428571429,0.7464154668860552,11,22
SVM,wisdm,all,ORACLE,0.75,0.7531096490105219,10,10
SVM,wisdm,all,ORACLE,0.7071428571428572,0.7085803053570748,9,9
SVM,wisdm,all,ORACLE,0.7071428571428572,0.708310480217457,8,8
SVM,wisdm,all,ORACLE,0.7,0.7014264384365168,7,7
SVM,wisdm,all,ORACLE,0.7071428571428572,0.7102496400186128,6,6
SVM,wisdm,all,ORACLE,0.6928571428571428,0.6956414679818935,5,5
SVM,wisdm,all,ORACLE,0.7142857142857143,0.7186507936507937,4,4
SVM,wisdm,all,ORACLE,0.5714285714285714,0.5654437133099448,3,3
SVM,wisdm,all,ORACLE,0.5857142857142857,0.5780950117568895,2,12
SVM,wisdm,all,ORACLE,0.5785714285714286,0.5669556243550051,1,23
