Classifier,Dataset,Reduce,XAI,Accuracy,F1-Score,Dimension,Feature Removed
Decision Tree,wisdm,axis,SHAP,0.75,0.7509514594420255,24,0
Decision Tree,wisdm,axis,SHAP,0.7,0.7036580237669167,23,6
Decision Tree,wisdm,axis,SHAP,0.7214285714285714,0.7221415795829058,22,16
Decision Tree,wisdm,axis,SHAP,0.75,0.7483237875252394,21,17
Decision Tree,wisdm,axis,SHAP,0.7142857142857143,0.7158680243585904,20,8
Decision Tree,wisdm,axis,SHAP,0.6714285714285714,0.6721509101908376,19,15
Decision Tree,wisdm,axis,SHAP,0.7642857142857142,0.7647008064081826,18,11
Decision Tree,wisdm,axis,SHAP,0.7928571428571428,0.7918779899728271,17,22
Decision Tree,wisdm,axis,SHAP,0.7785714285714286,0.7801582513488824,16,1
Decision Tree,wisdm,axis,SHAP,0.7214285714285714,0.720916977759083,15,19
Decision Tree,wisdm,axis,SHAP,0.6928571428571428,0.6924807186994795,14,4
Decision Tree,wisdm,axis,SHAP,0.6785714285714286,0.680258821638132,13,12
Decision Tree,wisdm,axis,SHAP,0.7,0.6977301315037163,12,20
Decision Tree,wisdm,axis,SHAP,0.7071428571428572,0.7045479737737382,11,13
Decision Tree,wisdm,axis,SHAP,0.6928571428571428,0.6937741344977072,10,18
Decision Tree,wisdm,axis,SHAP,0.7071428571428572,0.7072590433984376,9,3
Decision Tree,wisdm,axis,SHAP,0.7071428571428572,0.7056147430723703,8,2
Decision Tree,wisdm,axis,SHAP,0.6785714285714286,0.6762416530837583,7,14
Decision Tree,wisdm,axis,SHAP,0.6214285714285714,0.6217636600687448,6,21
Decision Tree,wisdm,axis,SHAP,0.6142857142857143,0.6108267942264449,5,23
Decision Tree,wisdm,axis,SHAP,0.6214285714285714,0.6183395700344854,4,7
Decision Tree,wisdm,axis,SHAP,0.5214285714285715,0.5090709396966334,3,5
Decision Tree,wisdm,axis,SHAP,0.5642857142857143,0.5658247615299102,2,9
Decision Tree,wisdm,axis,SHAP,0.40714285714285714,0.40562376320997007,1,10
