Classifier,Dataset,Reduce,XAI,Accuracy,F1-Score,Dimension,Feature Removed
KNN,wisdm,axis,ORACLE,0.8214285714285714,0.8233101621979477,24,1
KNN,wisdm,axis,ORACLE,0.7857142857142857,0.7864403183023874,23,6
KNN,wisdm,axis,ORACLE,0.8,0.799967085392834,22,11
KNN,wisdm,axis,ORACLE,0.7785714285714286,0.7773043909208048,21,8
KNN,wisdm,axis,ORACLE,0.8,0.7993099292015611,20,2
KNN,wisdm,axis,ORACLE,0.7857142857142857,0.7853481700492392,19,20
KNN,wisdm,axis,ORACLE,0.7785714285714286,0.7766737705108945,18,19
KNN,wisdm,axis,ORACLE,0.7785714285714286,0.777071802889765,17,5
KNN,wisdm,axis,ORACLE,0.7785714285714286,0.7766662586286731,16,18
KNN,wisdm,axis,ORACLE,0.7785714285714286,0.7765213032581453,15,10
KNN,wisdm,axis,ORACLE,0.7785714285714286,0.7765213032581453,14,16
KNN,wisdm,axis,ORACLE,0.7714285714285715,0.7710119066117436,13,12
KNN,wisdm,axis,ORACLE,0.7928571428571428,0.792723848656052,12,15
KNN,wisdm,axis,ORACLE,0.7928571428571428,0.7914088250930357,11,17
KNN,wisdm,axis,ORACLE,0.7928571428571428,0.7900697197539304,10,0
KNN,wisdm,axis,ORACLE,0.7642857142857142,0.7657424154222429,9,13
KNN,wisdm,axis,ORACLE,0.8071428571428572,0.8096737884903348,8,9
KNN,wisdm,axis,ORACLE,0.7785714285714286,0.7801148179322284,7,4
KNN,wisdm,axis,ORACLE,0.7428571428571429,0.743990881068921,6,22
KNN,wisdm,axis,ORACLE,0.7285714285714285,0.7299946836788942,5,14
KNN,wisdm,axis,ORACLE,0.7285714285714285,0.7307126787004465,4,7
KNN,wisdm,axis,ORACLE,0.65,0.6508396206923577,3,3
KNN,wisdm,axis,ORACLE,0.5571428571428572,0.5534360174448371,2,23
KNN,wisdm,axis,ORACLE,0.45714285714285713,0.4568571030945264,1,21
