Classifier,Dataset,Reduce,XAI,Accuracy,F1-Score,Dimension,Feature Removed
KNN,wisdm,axis,SHAP,0.8214285714285714,0.8233101621979477,24,6
KNN,wisdm,axis,SHAP,0.8071428571428572,0.806560888232292,23,4
KNN,wisdm,axis,SHAP,0.8071428571428572,0.806204944065048,22,20
KNN,wisdm,axis,SHAP,0.8071428571428572,0.8065852501802965,21,16
KNN,wisdm,axis,SHAP,0.8142857142857143,0.8123841508057282,20,0
KNN,wisdm,axis,SHAP,0.8214285714285714,0.8199029477982094,19,8
KNN,wisdm,axis,SHAP,0.7714285714285715,0.770632483064425,18,12
KNN,wisdm,axis,SHAP,0.7642857142857142,0.7636158578263841,17,1
KNN,wisdm,axis,SHAP,0.7571428571428571,0.75669992986844,16,17
KNN,wisdm,axis,SHAP,0.7642857142857142,0.7630532179684721,15,13
KNN,wisdm,axis,SHAP,0.7857142857142857,0.7849880653184469,14,11
KNN,wisdm,axis,SHAP,0.7857142857142857,0.785871680245546,13,22
KNN,wisdm,axis,SHAP,0.7857142857142857,0.7863731690773432,12,21
KNN,wisdm,axis,SHAP,0.7571428571428571,0.7549431816856839,11,9
KNN,wisdm,axis,SHAP,0.7857142857142857,0.7874485513939203,10,19
KNN,wisdm,axis,SHAP,0.75,0.7500492610837438,9,14
KNN,wisdm,axis,SHAP,0.7,0.696398260608787,8,10
KNN,wisdm,axis,SHAP,0.7357142857142858,0.7356336766681594,7,7
KNN,wisdm,axis,SHAP,0.7285714285714285,0.7277323227958437,6,15
KNN,wisdm,axis,SHAP,0.7071428571428572,0.7090630688492627,5,23
KNN,wisdm,axis,SHAP,0.6928571428571428,0.6942060192587856,4,3
KNN,wisdm,axis,SHAP,0.5714285714285714,0.5759457476626724,3,18
KNN,wisdm,axis,SHAP,0.5214285714285715,0.5176383777976564,2,2
KNN,wisdm,axis,SHAP,0.4642857142857143,0.44329318009820273,1,5
