Classifier,Dataset,Reduce,XAI,Accuracy,F1-Score,Dimension,Feature Removed
SVM,wisdm,axis,ORACLE,0.7857142857142857,0.7857819142874998,24,17
SVM,wisdm,axis,ORACLE,0.7642857142857142,0.7646106981200648,23,11
SVM,wisdm,axis,ORACLE,0.7714285714285715,0.7721586920003383,22,1
SVM,wisdm,axis,ORACLE,0.7214285714285714,0.7233262080689411,21,2
SVM,wisdm,axis,ORACLE,0.7214285714285714,0.7241235444859057,20,4
SVM,wisdm,axis,ORACLE,0.7428571428571429,0.74428877111356,19,19
SVM,wisdm,axis,ORACLE,0.7214285714285714,0.7219597581524433,18,9
SVM,wisdm,axis,ORACLE,0.7285714285714285,0.729111111111111,17,21
SVM,wisdm,axis,ORACLE,0.7357142857142858,0.7351381934639187,16,18
SVM,wisdm,axis,ORACLE,0.7357142857142858,0.7351381934639187,15,22
SVM,wisdm,axis,ORACLE,0.7214285714285714,0.7216178349990834,14,0
SVM,wisdm,axis,ORACLE,0.7071428571428572,0.7084463901723586,13,5
SVM,wisdm,axis,ORACLE,0.7285714285714285,0.728682221052219,12,3
SVM,wisdm,axis,ORACLE,0.7285714285714285,0.7285873080329275,11,10
SVM,wisdm,axis,ORACLE,0.7214285714285714,0.7208810933436618,10,23
SVM,wisdm,axis,ORACLE,0.75,0.7500115526436563,9,13
SVM,wisdm,axis,ORACLE,0.7571428571428571,0.7570356117431871,8,14
SVM,wisdm,axis,ORACLE,0.75,0.7501690007266433,7,15
SVM,wisdm,axis,ORACLE,0.75,0.7528858269857256,6,7
SVM,wisdm,axis,ORACLE,0.7428571428571429,0.745338025808614,5,6
SVM,wisdm,axis,ORACLE,0.7071428571428572,0.7090624075717245,4,20
SVM,wisdm,axis,ORACLE,0.6785714285714286,0.6762356162356162,3,16
SVM,wisdm,axis,ORACLE,0.6571428571428571,0.6518722005142361,2,8
SVM,wisdm,axis,ORACLE,0.5928571428571429,0.5770250896057347,1,12
