Classifier,Dataset,Reduce,XAI,Accuracy,F1-Score,Dimension,Feature Removed
KNN,wisdm,sensor,LIME,0.8,0.7995940556423732,24,12
KNN,wisdm,sensor,LIME,0.8071428571428572,0.8079960115963367,23,0
KNN,wisdm,sensor,LIME,0.8,0.8009203831358063,22,1
KNN,wisdm,sensor,LIME,0.7857142857142857,0.7880550560550561,21,13
KNN,wisdm,sensor,LIME,0.7714285714285715,0.7722944173248433,20,3
KNN,wisdm,sensor,LIME,0.7857142857142857,0.7863451309188694,19,23
KNN,wisdm,sensor,LIME,0.8071428571428572,0.8073293296133416,18,14
KNN,wisdm,sensor,LIME,0.8142857142857143,0.8140560330476969,17,4
KNN,wisdm,sensor,LIME,0.8142857142857143,0.8129066112359018,16,16
KNN,wisdm,sensor,LIME,0.7928571428571428,0.7914801498792311,15,15
KNN,wisdm,sensor,LIME,0.7714285714285715,0.7722860610646112,14,18
KNN,wisdm,sensor,LIME,0.7714285714285715,0.772406285971673,13,21
KNN,wisdm,sensor,LIME,0.7571428571428571,0.7580754494547599,12,19
KNN,wisdm,sensor,LIME,0.7857142857142857,0.7855784833999794,11,6
KNN,wisdm,sensor,LIME,0.7857142857142857,0.7868014218026899,10,5
KNN,wisdm,sensor,LIME,0.7571428571428571,0.7583914478559038,9,7
KNN,wisdm,sensor,LIME,0.7428571428571429,0.7441992379533044,8,20
KNN,wisdm,sensor,LIME,0.7428571428571429,0.7442270686252469,7,17
KNN,wisdm,sensor,LIME,0.7714285714285715,0.7740500586497079,6,2
KNN,wisdm,sensor,LIME,0.6857142857142857,0.6863145972391547,5,9
KNN,wisdm,sensor,LIME,0.6642857142857143,0.661431851506814,4,10
KNN,wisdm,sensor,LIME,0.5928571428571429,0.589846169765598,3,11
KNN,wisdm,sensor,LIME,0.5285714285714286,0.5172944152513519,2,22
KNN,wisdm,sensor,LIME,0.40714285714285714,0.39229056355495523,1,8
