Classifier,Dataset,Reduce,XAI,Accuracy,F1-Score,Dimension,Feature Removed
Random Forest,wisdm,sensor,ORACLE,0.8285714285714286,0.8273461277208349,24,15
Random Forest,wisdm,sensor,ORACLE,0.8285714285714286,0.8284189675206107,23,7
Random Forest,wisdm,sensor,ORACLE,0.8357142857142857,0.8352548415359979,22,8
Random Forest,wisdm,sensor,ORACLE,0.8285714285714286,0.8276363636363635,21,16
Random Forest,wisdm,sensor,ORACLE,0.85,0.8484441856667116,20,0
Random Forest,wisdm,sensor,ORACLE,0.8428571428571429,0.8414696877765984,19,1
Random Forest,wisdm,sensor,ORACLE,0.8428571428571429,0.8414696877765984,18,19
Random Forest,wisdm,sensor,ORACLE,0.85,0.8485582489329561,17,3
Random Forest,wisdm,sensor,ORACLE,0.8428571428571429,0.8417583821330894,16,17
Random Forest,wisdm,sensor,ORACLE,0.8214285714285714,0.8209983992934813,15,6
Random Forest,wisdm,sensor,ORACLE,0.8142857142857143,0.8141792114695342,14,22
Random Forest,wisdm,sensor,ORACLE,0.8285714285714286,0.8276363636363635,13,18
Random Forest,wisdm,sensor,ORACLE,0.8,0.7998790056903264,12,14
Random Forest,wisdm,sensor,ORACLE,0.8071428571428572,0.8072864130977339,11,11
Random Forest,wisdm,sensor,ORACLE,0.8214285714285714,0.8209983992934813,10,12
Random Forest,wisdm,sensor,ORACLE,0.8142857142857143,0.8134620649384157,9,10
Random Forest,wisdm,sensor,ORACLE,0.8071428571428572,0.8077690516230069,8,9
Random Forest,wisdm,sensor,ORACLE,0.7714285714285715,0.7716947900411795,7,5
Random Forest,wisdm,sensor,ORACLE,0.7714285714285715,0.7734035092128438,6,4
Random Forest,wisdm,sensor,ORACLE,0.7642857142857142,0.7654872126046104,5,2
Random Forest,wisdm,sensor,ORACLE,0.7785714285714286,0.7801762726196969,4,20
Random Forest,wisdm,sensor,ORACLE,0.7428571428571429,0.7447161301322822,3,21
Random Forest,wisdm,sensor,ORACLE,0.7,0.6999143873447926,2,13
Random Forest,wisdm,sensor,ORACLE,0.4642857142857143,0.47063967611336033,1,23
